metric,variant,value,unit,grade
Round swing,single,-,,N/A
DPR,traditional,0.67,,Okay
DPR,ecoAdjusted,,,Okay
KAST,traditional,70.9,%,Okay
KAST,ecoAdjusted,,,Okay
Multi-kill,traditional,-,,N/A
MK rating,ecoAdjusted,,,N/A
ADR,traditional,79.8,,Okay
ADR,ecoAdjusted,,,Okay
KPR,traditional,0.73,,Good
KPR,ecoAdjusted,,,Good
