metric,Both,CT,T
1on1 win percentage,52.3%,48.6%,56.7%
Assisted kills percentage,14.7%,16.6%,12.7%
Assists per round,0.13,0.15,0.12
Attacks per round,2.72,2.67,2.53
Clutch points per round,0.02,0.02,0.02
Damage per kill,104,103,105
Damage per round,88.2,90.0,86.3
Damage per round win,113.1,113.3,112.9
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.73,0.60,0.89
Kills per round,0.81,0.83,0.79
Kills per round win,1.16,1.18,1.15
Last alive percentage,8.3%,8.1%,8.5%
Opening attempts,31.1%,30.0%,32.2%
Opening deaths per round,0.15,0.13,0.17
Opening deaths traded percentage,17.7%,16.1%,18.9%
Opening kills per round,0.17,0.17,0.16
Opening success,53.3%,58.2%,48.4%
Pistol round rating,1.43,1.57,1.29
Rating 1.0,1.16,1.22,1.11
Rounds with a kill,51.2%,52.3%,49.9%
Rounds with a multi-kill,21.6%,21.9%,21.3%
Rounds with sniper kills percentage,7.8%,12.5%,3.0%
Saved by teammate per round,0.09,0.08,0.09
Saved teammate per round,0.08,0.06,0.09
Saves per round loss,4.1%,6.7%,1.3%
Sniper kills per round,0.10,0.16,0.04
Sniper kills percentage,12.9%,19.7%,4.9%
Sniper multi-kill rounds,0.02,0.04,0.01
Sniper opening kills per round,0.02,0.04,0.007
Support rounds,12.8%,14.1%,9.9%
Time alive per round,0m 58s,0m 57s,1m 0s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.11,0.09,0.12
Trade kills percentage,13.0%,11.0%,15.2%
Traded deaths per round,0.13,0.11,0.14
Traded deaths percentage,18.3%,17.1%,19.4%
Utility damage per round,2.60,3.35,1.82
Utility kills per 100 rounds,0.38,0.51,0.25
Win% after opening kill,71.3%,70.1%,72.7%
