metric,Both,CT,T
1on1 win percentage,57.8%,47.5%,75.0%
Assisted kills percentage,17.3%,18.2%,16.2%
Assists per round,0.10,0.11,0.09
Attacks per round,2.17,2.31,2.04
Clutch points per round,0.03,0.02,0.04
Damage per kill,103,103,103
Damage per round,79.3,84.1,74.4
Damage per round win,104.3,109.7,98.9
Flash assists per round,0.06,0.04,0.08
Flashes thrown per round,0.70,0.40,1.00
Kills per round,0.77,0.82,0.72
Kills per round win,1.05,1.12,0.99
Last alive percentage,11.3%,9.3%,13.3%
Opening attempts,22.1%,24.4%,19.8%
Opening deaths per round,0.08,0.07,0.08
Opening deaths traded percentage,19.6%,15.3%,23.6%
Opening kills per round,0.14,0.17,0.12
Opening success,65.1%,70.0%,59.1%
Pistol round rating,1.24,1.24,1.24
Rating 2.0,1.22,1.25,1.18
Rounds with a kill,51.2%,53.5%,48.9%
Rounds with a multi-kill,19.1%,20.8%,17.4%
Rounds with sniper kills percentage,30.1%,37.0%,23.2%
Saved by teammate per round,0.07,0.05,0.08
Saved teammate per round,0.08,0.05,0.11
Saves per round loss,13.2%,22.0%,4.5%
Sniper kills per round,0.38,0.47,0.30
Sniper kills percentage,49.5%,56.8%,41.1%
Sniper multi-kill rounds,0.10,0.13,0.07
Sniper opening kills per round,0.10,0.14,0.07
Support rounds,17.3%,19.7%,14.9%
Time alive per round,1m 14s,1m 13s,1m 15s
Time opponent flashed per round,2.27,2.56,2.15
Trade kills per round,0.12,0.10,0.14
Trade kills percentage,15.9%,12.8%,19.5%
Traded deaths per round,0.09,0.08,0.10
Traded deaths percentage,15.3%,14.4%,16.1%
Utility damage per round,4.71,6.68,2.73
Utility kills per 100 rounds,0.56,0.74,0.37
Win% after opening kill,71.8%,71.1%,72.9%
