metric,Both,CT,T
1on1 win percentage,53.2%,51.2%,55.9%
Assisted kills percentage,17.9%,18.7%,16.9%
Assists per round,0.14,0.18,0.11
Attacks per round,3.33,3.78,2.88
Clutch points per round,0.03,0.02,0.03
Damage per kill,110,109,112
Damage per round,87.5,97.0,77.9
Damage per round win,112.9,119.5,104.2
Flash assists per round,0.03,0.02,0.03
Flashes thrown per round,0.46,0.38,0.54
Kills per round,0.79,0.89,0.70
Kills per round win,1.09,1.15,1.00
Last alive percentage,15.3%,11.8%,18.7%
Opening attempts,21.8%,24.3%,19.4%
Opening deaths per round,0.08,0.07,0.09
Opening deaths traded percentage,17.5%,19.1%,16.2%
Opening kills per round,0.14,0.17,0.10
Opening success,62.1%,70.5%,51.7%
Pistol round rating,1.25,1.33,1.17
Rating 2.0,1.24,1.38,1.11
Rounds with a kill,51.8%,55.8%,47.8%
Rounds with a multi-kill,20.0%,23.4%,16.6%
Rounds with sniper kills percentage,0.4%,0.5%,0.2%
Saved by teammate per round,0.06,0.06,0.07
Saved teammate per round,0.09,0.08,0.11
Saves per round loss,13.0%,21.3%,6.9%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.4%,0.4%,0.4%
Sniper multi-kill rounds,0.0006,0.0008,0.0004
Sniper opening kills per round,0.0008,0.001,0.0004
Support rounds,17.8%,21.5%,14.2%
Time alive per round,1m 11s,1m 10s,1m 13s
Time opponent flashed per round,2.38,2.70,2.15
Trade kills per round,0.15,0.14,0.16
Trade kills percentage,19.1%,15.4%,23.6%
Traded deaths per round,0.09,0.08,0.09
Traded deaths percentage,14.0%,15.0%,13.2%
Utility damage per round,7.87,10.83,4.94
Utility kills per 100 rounds,1.71,2.19,1.24
Win% after opening kill,78.6%,79.0%,77.9%
