metric,Both,CT,T
1on1 win percentage,50.0%,52.4%,46.2%
Assisted kills percentage,26.8%,26.9%,26.8%
Assists per round,0.22,0.23,0.20
Attacks per round,3.06,3.21,2.90
Clutch points per round,0.02,0.01,0.03
Damage per kill,109,111,108
Damage per round,85.3,87.5,83.0
Damage per round win,115.1,115.9,114.2
Flash assists per round,0.02,0.03,0.02
Flashes thrown per round,0.52,0.61,0.48
Kills per round,0.78,0.79,0.77
Kills per round win,1.10,1.10,1.11
Last alive percentage,8.9%,8.0%,9.8%
Opening attempts,25.8%,24.2%,27.5%
Opening deaths per round,0.11,0.10,0.13
Opening deaths traded percentage,24.7%,18.9%,29.7%
Opening kills per round,0.14,0.14,0.15
Opening success,56.1%,58.3%,54.1%
Pistol round rating,1.30,1.19,1.40
Rating 3.0,1.16,1.14,1.18
Rounds with a kill,51.4%,53.4%,49.1%
Rounds with a multi-kill,19.4%,18.8%,20.1%
Rounds with sniper kills percentage,1.8%,3.1%,0.5%
Saved by teammate per round,0.11,0.09,0.14
Saved teammate per round,0.14,0.11,0.17
Saves per round loss,6.7%,10.6%,2.7%
Sniper kills per round,0.02,0.03,0.00
Sniper kills percentage,2.6%,4.3%,0.6%
Sniper multi-kill rounds,0.003,0.005,0.0
Sniper opening kills per round,0.005,0.009,0.0
Support rounds,16.8%,17.4%,16.1%
Time alive per round,1m 4s,1m 5s,1m 2s
Time opponent flashed per round,2.09,2.37,1.73
Trade kills per round,0.15,0.14,0.17
Trade kills percentage,19.7%,17.6%,21.9%
Traded deaths per round,0.13,0.12,0.14
Traded deaths percentage,18.8%,17.6%,19.9%
Utility damage per round,4.51,4.90,4.10
Utility kills per 100 rounds,0.69,0.83,0.55
Win% after opening kill,70.0%,67.1%,72.9%
