metric,Both,CT,T
1on1 win percentage,57.9%,50.0%,71.4%
Assisted kills percentage,25.5%,25.9%,24.9%
Assists per round,0.14,0.15,0.13
Attacks per round,2.09,2.05,2.13
Clutch points per round,0.03,0.02,0.04
Damage per kill,100,99,101
Damage per round,81.5,84.2,78.7
Damage per round win,105.6,110.3,101.2
Flash assists per round,0.08,0.06,0.09
Flashes thrown per round,0.68,0.46,0.90
Kills per round,0.81,0.85,0.78
Kills per round win,1.09,1.16,1.03
Last alive percentage,12.0%,10.5%,13.5%
Opening attempts,21.5%,23.9%,19.0%
Opening deaths per round,0.07,0.07,0.08
Opening deaths traded percentage,26.5%,25.2%,27.8%
Opening kills per round,0.14,0.17,0.11
Opening success,65.3%,69.6%,59.8%
Pistol round rating,1.17,1.16,1.18
Rating 3.0,1.25,1.18,1.32
Rounds with a kill,52.4%,54.3%,50.6%
Rounds with a multi-kill,21.2%,22.3%,20.1%
Rounds with sniper kills percentage,26.3%,32.6%,20.0%
Saved by teammate per round,0.09,0.08,0.10
Saved teammate per round,0.12,0.09,0.15
Saves per round loss,10.5%,17.5%,3.1%
Sniper kills per round,0.37,0.45,0.29
Sniper kills percentage,45.3%,52.9%,37.1%
Sniper multi-kill rounds,0.10,0.12,0.08
Sniper opening kills per round,0.09,0.11,0.07
Support rounds,18.6%,19.8%,17.5%
Time alive per round,1m 17s,1m 15s,1m 18s
Time opponent flashed per round,2.40,2.68,2.26
Trade kills per round,0.16,0.13,0.18
Trade kills percentage,19.1%,15.7%,22.9%
Traded deaths per round,0.12,0.12,0.12
Traded deaths percentage,20.0%,20.6%,19.5%
Utility damage per round,3.48,4.11,2.85
Utility kills per 100 rounds,0.74,0.92,0.56
Win% after opening kill,75.0%,75.3%,74.7%
