cluster,n_features,avg_internal_corr,avg_external_corr,cohesion
1,4,0.014770479875355076,0.0025002567766959833,5.907585178060725
2,4,0.6116514982561289,0.03754004520078024,16.293307453007973
3,7,0.5246905779463927,-0.10090184397539129,
4,4,0.4881412659742021,0.012313773402946782,39.64189123842299
5,5,0.6431066703987596,-0.021862451648937714,
6,4,0.9124137155870101,0.0555382966738205,16.428550571971382
7,6,0.9087133726585518,-0.050197198523398046,
8,4,0.4007117278689995,-0.01813931627953518,
