metric,variant,value,unit,grade
Round swing,single,+0.47,%,Okay
DPR,traditional,0.68,,Okay
DPR,ecoAdjusted,0.70,,Okay
KAST,traditional,73.7,%,Okay
KAST,ecoAdjusted,71.7,%,Okay
Multi-kill,traditional,16.9,%,Good
MK rating,ecoAdjusted,1.14,,Good
ADR,traditional,78.5,,Okay
ADR,ecoAdjusted,77.8,,Okay
KPR,traditional,0.71,,Okay
KPR,ecoAdjusted,0.71,,Okay
