metric,Both,CT,T
1on1 win percentage,47.6%,32.6%,64.1%
Assisted kills percentage,21.1%,23.0%,19.1%
Assists per round,0.14,0.14,0.13
Attacks per round,2.97,3.06,2.88
Clutch points per round,0.03,0.02,0.04
Damage per kill,108,106,109
Damage per round,75.9,77.0,74.7
Damage per round win,92.5,95.6,89.5
Flash assists per round,0.05,0.05,0.06
Flashes thrown per round,0.71,0.56,0.86
Kills per round,0.70,0.72,0.68
Kills per round win,0.92,0.97,0.88
Last alive percentage,12.2%,11.1%,13.3%
Opening attempts,13.0%,12.1%,13.9%
Opening deaths per round,0.05,0.04,0.07
Opening deaths traded percentage,25.3%,19.4%,28.9%
Opening kills per round,0.08,0.08,0.07
Opening success,58.1%,65.2%,52.0%
Pistol round rating,1.21,1.16,1.26
Rating 2.0,1.15,1.13,1.16
Rounds with a kill,47.7%,48.6%,46.8%
Rounds with a multi-kill,17.4%,18.0%,16.8%
Rounds with sniper kills percentage,2.0%,3.7%,0.4%
Saved by teammate per round,0.08,0.07,0.10
Saved teammate per round,0.10,0.08,0.12
Saves per round loss,11.0%,19.1%,3.0%
Sniper kills per round,0.03,0.05,0.01
Sniper kills percentage,4.1%,7.2%,0.9%
Sniper multi-kill rounds,0.008,0.02,0.0008
Sniper opening kills per round,0.005,0.01,0.0
Support rounds,23.0%,26.4%,19.6%
Time alive per round,1m 8s,1m 9s,1m 8s
Time opponent flashed per round,2.44,2.15,2.62
Trade kills per round,0.14,0.13,0.16
Trade kills percentage,20.3%,17.9%,22.9%
Traded deaths per round,0.11,0.09,0.12
Traded deaths percentage,18.3%,17.2%,19.3%
Utility damage per round,6.17,6.73,5.61
Utility kills per 100 rounds,1.78,1.84,1.73
Win% after opening kill,72.7%,73.1%,72.2%
