metric,Both,CT,T
1on1 win percentage,60.9%,61.2%,60.5%
Assisted kills percentage,18.3%,20.8%,15.3%
Assists per round,0.12,0.13,0.11
Attacks per round,2.36,2.36,2.06
Clutch points per round,0.02,0.02,0.03
Damage per kill,98,96,101
Damage per round,82.5,86.2,78.6
Damage per round win,98.1,99.6,96.2
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.52,0.41,0.66
Kills per round,0.79,0.85,0.73
Kills per round win,1.07,1.12,1.01
Last alive percentage,12.2%,10.9%,13.5%
Opening attempts,24.1%,25.2%,23.0%
Opening deaths per round,0.10,0.08,0.12
Opening deaths traded percentage,13.3%,11.8%,14.4%
Opening kills per round,0.14,0.17,0.11
Opening success,58.7%,67.1%,48.9%
Pistol round rating,1.15,1.20,1.10
Rating 1.0,1.19,1.29,1.08
Rounds with a kill,51.1%,53.5%,48.6%
Rounds with a multi-kill,20.6%,22.8%,18.3%
Rounds with sniper kills percentage,22.8%,25.8%,19.6%
Saved by teammate per round,0.08,0.06,0.08
Saved teammate per round,0.09,0.07,0.09
Saves per round loss,7.6%,11.9%,3.4%
Sniper kills per round,0.31,0.35,0.24
Sniper kills percentage,39.7%,43.7%,34.5%
Sniper multi-kill rounds,0.08,0.11,0.06
Sniper opening kills per round,0.08,0.11,0.05
Support rounds,14.5%,15.5%,12.1%
Time alive per round,1m 2s,1m 3s,1m 2s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.12,0.11,0.12
Trade kills percentage,14.9%,13.3%,16.8%
Traded deaths per round,0.10,0.09,0.11
Traded deaths percentage,15.5%,14.9%,16.1%
Utility damage per round,3.50,4.75,2.15
Utility kills per 100 rounds,0.69,0.89,0.35
Win% after opening kill,78.2%,79.8%,75.6%
