metric,Both,CT,T
1on1 win percentage,69.2%,58.3%,78.6%
Assisted kills percentage,13.8%,14.6%,13.0%
Assists per round,0.14,0.17,0.11
Attacks per round,2.95,3.47,2.44
Clutch points per round,0.01,0.009,0.01
Damage per kill,114,116,113
Damage per round,84.6,93.8,75.6
Damage per round win,115.2,123.7,106.7
Flash assists per round,0.03,0.03,0.04
Flashes thrown per round,0.58,0.39,0.75
Kills per round,0.74,0.81,0.67
Kills per round win,1.07,1.15,1.00
Last alive percentage,5.2%,4.9%,5.5%
Opening attempts,34.3%,34.1%,34.5%
Opening deaths per round,0.16,0.14,0.18
Opening deaths traded percentage,18.3%,14.2%,21.4%
Opening kills per round,0.18,0.20,0.17
Opening success,52.7%,57.6%,48.0%
Pistol round rating,1.09,1.06,1.12
Rating 2.0,1.15,1.21,1.09
Rounds with a kill,48.3%,52.1%,44.6%
Rounds with a multi-kill,18.8%,20.7%,16.9%
Rounds with sniper kills percentage,1.1%,1.6%,0.6%
Saved by teammate per round,0.09,0.07,0.12
Saved teammate per round,0.07,0.06,0.08
Saves per round loss,8.0%,13.2%,3.2%
Sniper kills per round,0.01,0.02,0.01
Sniper kills percentage,1.7%,2.2%,1.0%
Sniper multi-kill rounds,0.002,0.003,0.0
Sniper opening kills per round,0.002,0.004,0.0004
Support rounds,14.1%,16.2%,12.0%
Time alive per round,1m 8s,1m 6s,1m 10s
Time opponent flashed per round,2.49,2.95,2.25
Trade kills per round,0.09,0.08,0.11
Trade kills percentage,12.7%,9.8%,16.1%
Traded deaths per round,0.14,0.12,0.15
Traded deaths percentage,19.3%,18.2%,20.2%
Utility damage per round,4.71,6.60,2.87
Utility kills per 100 rounds,0.80,0.97,0.64
Win% after opening kill,71.6%,72.7%,70.5%
