metric,Both,CT,T
1on1 win percentage,62.5%,48.7%,78.8%
Assisted kills percentage,15.1%,15.2%,14.9%
Assists per round,0.09,0.10,0.08
Attacks per round,1.96,2.22,1.70
Clutch points per round,0.03,0.02,0.03
Damage per kill,104,104,104
Damage per round,76.5,81.7,71.1
Damage per round win,101.8,107.1,96.1
Flash assists per round,0.05,0.03,0.07
Flashes thrown per round,0.68,0.51,0.87
Kills per round,0.74,0.79,0.68
Kills per round win,1.02,1.09,0.96
Last alive percentage,11.4%,9.0%,13.8%
Opening attempts,23.0%,26.0%,20.0%
Opening deaths per round,0.10,0.10,0.09
Opening deaths traded percentage,15.4%,16.7%,14.0%
Opening kills per round,0.13,0.16,0.11
Opening success,57.7%,61.1%,53.1%
Pistol round rating,1.01,0.96,1.07
Rating 2.0,1.12,1.15,1.09
Rounds with a kill,49.0%,51.9%,45.9%
Rounds with a multi-kill,18.6%,20.5%,16.7%
Rounds with sniper kills percentage,32.4%,34.3%,30.4%
Saved by teammate per round,0.07,0.07,0.08
Saved teammate per round,0.08,0.06,0.10
Saves per round loss,8.0%,12.6%,3.4%
Sniper kills per round,0.43,0.47,0.40
Sniper kills percentage,58.9%,59.2%,58.6%
Sniper multi-kill rounds,0.12,0.13,0.11
Sniper opening kills per round,0.10,0.12,0.08
Support rounds,14.8%,15.7%,13.8%
Time alive per round,1m 5s,1m 4s,1m 6s
Time opponent flashed per round,2.28,2.39,2.22
Trade kills per round,0.12,0.10,0.14
Trade kills percentage,16.7%,12.9%,21.3%
Traded deaths per round,0.11,0.11,0.10
Traded deaths percentage,16.9%,18.4%,15.4%
Utility damage per round,2.95,4.03,1.84
Utility kills per 100 rounds,0.50,0.60,0.39
Win% after opening kill,72.9%,72.2%,74.0%
