metric,variant,value,unit,grade
Round swing,single,+2.19,%,Good
DPR,traditional,0.58,,Good
DPR,ecoAdjusted,0.64,,Good
KAST,traditional,73.6,%,Okay
KAST,ecoAdjusted,71.1,%,Okay
Multi-kill,traditional,19.5,%,Okay
MK rating,ecoAdjusted,1.12,,Okay
ADR,traditional,77.8,,Okay
ADR,ecoAdjusted,74.9,,Okay
KPR,traditional,0.78,,Good
KPR,ecoAdjusted,0.72,,Good
