metric,Both,CT,T
1on1 win percentage,64.0%,57.1%,72.7%
Assisted kills percentage,15.6%,16.7%,14.2%
Assists per round,0.14,0.17,0.12
Attacks per round,2.81,3.19,2.43
Clutch points per round,0.02,0.01,0.02
Damage per kill,112,112,113
Damage per round,85.6,92.5,78.5
Damage per round win,109.9,114.8,104.4
Flash assists per round,0.02,0.02,0.02
Flashes thrown per round,0.45,0.35,0.55
Kills per round,0.76,0.82,0.70
Kills per round win,1.03,1.08,0.99
Last alive percentage,6.9%,7.0%,6.7%
Opening attempts,25.3%,22.9%,27.8%
Opening deaths per round,0.12,0.08,0.15
Opening deaths traded percentage,23.0%,14.7%,27.7%
Opening kills per round,0.14,0.15,0.13
Opening success,53.7%,63.4%,45.4%
Pistol round rating,1.34,1.42,1.25
Rating 2.0,1.19,1.22,1.15
Rounds with a kill,49.7%,53.1%,46.2%
Rounds with a multi-kill,19.5%,21.2%,17.7%
Rounds with sniper kills percentage,0.4%,0.6%,0.2%
Saved by teammate per round,0.10,0.08,0.12
Saved teammate per round,0.09,0.07,0.11
Saves per round loss,3.7%,6.4%,1.1%
Sniper kills per round,0.00,0.01,0.00
Sniper kills percentage,0.6%,0.8%,0.3%
Sniper multi-kill rounds,0.0006,0.001,0.0003
Sniper opening kills per round,0.001,0.002,0.0
Support rounds,15.4%,17.7%,13.0%
Time alive per round,1m 0s,1m 2s,0m 58s
Time opponent flashed per round,1.73,2.07,1.51
Trade kills per round,0.12,0.11,0.13
Trade kills percentage,15.6%,12.8%,19.1%
Traded deaths per round,0.14,0.12,0.17
Traded deaths percentage,21.3%,18.4%,24.0%
Utility damage per round,3.09,4.42,1.72
Utility kills per 100 rounds,0.59,0.89,0.29
Win% after opening kill,75.4%,75.6%,75.3%
