metric,Both,CT,T
1on1 win percentage,57.1%,47.4%,72.0%
Assisted kills percentage,26.8%,27.6%,25.8%
Assists per round,0.14,0.15,0.13
Attacks per round,2.21,2.15,2.26
Clutch points per round,0.03,0.02,0.04
Damage per kill,101,99,103
Damage per round,79.4,83.0,75.8
Damage per round win,99.2,104.5,93.8
Flash assists per round,0.05,0.05,0.06
Flashes thrown per round,0.67,0.47,0.86
Kills per round,0.79,0.84,0.73
Kills per round win,1.01,1.08,0.94
Last alive percentage,14.4%,11.8%,17.0%
Opening attempts,16.1%,19.6%,12.5%
Opening deaths per round,0.05,0.06,0.04
Opening deaths traded percentage,17.2%,13.9%,22.2%
Opening kills per round,0.11,0.13,0.08
Opening success,68.3%,68.8%,67.6%
Pistol round rating,1.21,1.20,1.21
Rating 3.0,1.20,1.19,1.22
Rounds with a kill,53.5%,55.4%,51.5%
Rounds with a multi-kill,19.5%,21.9%,17.1%
Rounds with sniper kills percentage,31.8%,39.3%,24.3%
Saved by teammate per round,0.08,0.07,0.08
Saved teammate per round,0.11,0.09,0.13
Saves per round loss,14.5%,20.8%,8.4%
Sniper kills per round,0.39,0.48,0.30
Sniper kills percentage,49.7%,57.1%,41.1%
Sniper multi-kill rounds,0.11,0.14,0.07
Sniper opening kills per round,0.09,0.11,0.06
Support rounds,19.8%,21.1%,18.6%
Time alive per round,1m 19s,1m 16s,1m 22s
Time opponent flashed per round,2.25,2.49,2.11
Trade kills per round,0.16,0.14,0.18
Trade kills percentage,19.9%,16.4%,23.9%
Traded deaths per round,0.09,0.08,0.09
Traded deaths percentage,16.2%,16.4%,16.1%
Utility damage per round,3.73,4.33,3.13
Utility kills per 100 rounds,1.16,1.36,0.96
Win% after opening kill,76.3%,73.9%,80.0%
