metric,Both,CT,T
1on1 win percentage,67.4%,58.0%,78.6%
Assisted kills percentage,18.0%,17.9%,18.2%
Assists per round,0.10,0.11,0.09
Attacks per round,2.13,2.10,2.15
Clutch points per round,0.04,0.03,0.05
Damage per kill,99,100,99
Damage per round,87.1,89.9,84.1
Damage per round win,111.6,115.6,107.6
Flash assists per round,0.03,0.02,0.05
Flashes thrown per round,0.67,0.47,0.88
Kills per round,0.88,0.90,0.85
Kills per round win,1.16,1.22,1.10
Last alive percentage,14.6%,11.7%,17.6%
Opening attempts,22.5%,25.3%,19.7%
Opening deaths per round,0.08,0.08,0.08
Opening deaths traded percentage,16.4%,12.4%,20.3%
Opening kills per round,0.15,0.17,0.12
Opening success,64.6%,68.9%,59.0%
Pistol round rating,1.25,1.35,1.16
Rating 2.0,1.34,1.33,1.35
Rounds with a kill,55.9%,57.4%,54.4%
Rounds with a multi-kill,23.4%,24.4%,22.4%
Rounds with sniper kills percentage,27.8%,36.3%,19.1%
Saved by teammate per round,0.08,0.06,0.10
Saved teammate per round,0.11,0.09,0.14
Saves per round loss,11.7%,18.0%,5.0%
Sniper kills per round,0.38,0.51,0.25
Sniper kills percentage,43.7%,56.2%,30.0%
Sniper multi-kill rounds,0.11,0.15,0.06
Sniper opening kills per round,0.09,0.12,0.05
Support rounds,15.9%,17.5%,14.3%
Time alive per round,1m 12s,1m 8s,1m 16s
Time opponent flashed per round,2.16,2.25,2.11
Trade kills per round,0.16,0.14,0.18
Trade kills percentage,18.4%,15.4%,21.8%
Traded deaths per round,0.11,0.10,0.12
Traded deaths percentage,18.0%,17.4%,18.6%
Utility damage per round,2.31,2.74,1.87
Utility kills per 100 rounds,0.39,0.40,0.37
Win% after opening kill,72.6%,69.2%,77.9%
