metric,variant,value,unit,grade
Round swing,single,+0.59,%,Okay
DPR,traditional,0.68,,Okay
DPR,ecoAdjusted,0.72,,Okay
KAST,traditional,72.4,%,Okay
KAST,ecoAdjusted,69.1,%,Okay
Multi-kill,traditional,17.0,%,Okay
MK rating,ecoAdjusted,1.10,,Okay
ADR,traditional,80.5,,Good
ADR,ecoAdjusted,79.6,,Good
KPR,traditional,0.70,,Good
KPR,ecoAdjusted,0.71,,Good
