metric,Both,CT,T
1on1 win percentage,66.2%,68.6%,61.5%
Assisted kills percentage,27.3%,27.9%,26.7%
Assists per round,0.22,0.23,0.20
Attacks per round,3.14,3.40,2.88
Clutch points per round,0.03,0.02,0.03
Damage per kill,112,112,113
Damage per round,82.0,86.2,77.7
Damage per round win,102.1,107.2,97.2
Flash assists per round,0.05,0.05,0.05
Flashes thrown per round,0.69,0.56,0.81
Kills per round,0.73,0.77,0.69
Kills per round win,0.97,1.04,0.91
Last alive percentage,11.2%,9.6%,12.7%
Opening attempts,18.4%,16.1%,20.7%
Opening deaths per round,0.08,0.06,0.10
Opening deaths traded percentage,29.9%,27.2%,31.5%
Opening kills per round,0.10,0.10,0.10
Opening success,54.3%,60.9%,49.3%
Pistol round rating,1.15,1.13,1.17
Rating 3.0,1.20,1.19,1.21
Rounds with a kill,48.4%,50.8%,46.0%
Rounds with a multi-kill,18.4%,19.5%,17.2%
Rounds with sniper kills percentage,0.6%,0.5%,0.8%
Saved by teammate per round,0.09,0.08,0.10
Saved teammate per round,0.11,0.10,0.11
Saves per round loss,10.6%,16.9%,4.4%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.1%,0.8%,1.5%
Sniper multi-kill rounds,0.002,0.0009,0.003
Sniper opening kills per round,0.0006,0.0004,0.0008
Support rounds,23.6%,24.8%,22.4%
Time alive per round,1m 15s,1m 15s,1m 15s
Time opponent flashed per round,2.43,2.72,2.23
Trade kills per round,0.14,0.13,0.15
Trade kills percentage,19.1%,17.0%,21.4%
Traded deaths per round,0.12,0.11,0.14
Traded deaths percentage,20.0%,18.5%,21.2%
Utility damage per round,7.89,8.71,7.08
Utility kills per 100 rounds,1.49,1.54,1.44
Win% after opening kill,73.8%,69.9%,77.6%
