metric,variant,value,unit,grade
Round swing,single,+1.68,%,Good
DPR,traditional,0.61,,Good
DPR,ecoAdjusted,0.63,,Good
KAST,traditional,76.4,%,Good
KAST,ecoAdjusted,73.9,%,Good
Multi-kill,traditional,18.4,%,Good
MK rating,ecoAdjusted,1.15,,Good
ADR,traditional,82.0,,Good
ADR,ecoAdjusted,82.0,,Good
KPR,traditional,0.73,,Good
KPR,ecoAdjusted,0.74,,Good
