metric,Both,CT,T
1on1 win percentage,63.2%,63.2%,63.2%
Assisted kills percentage,17.6%,20.0%,14.9%
Assists per round,0.13,0.15,0.10
Attacks per round,3.06,3.33,2.79
Clutch points per round,0.02,0.01,0.03
Damage per kill,110,111,109
Damage per round,81.0,83.8,78.1
Damage per round win,107.2,108.8,105.4
Flash assists per round,0.03,0.02,0.04
Flashes thrown per round,0.66,0.41,0.92
Kills per round,0.73,0.75,0.71
Kills per round win,1.05,1.06,1.03
Last alive percentage,8.7%,6.8%,10.6%
Opening attempts,21.9%,21.2%,22.6%
Opening deaths per round,0.10,0.09,0.12
Opening deaths traded percentage,21.4%,18.2%,23.8%
Opening kills per round,0.11,0.12,0.11
Opening success,52.5%,57.9%,47.3%
Pistol round rating,1.16,1.18,1.15
Rating 2.0,1.12,1.11,1.13
Rounds with a kill,48.1%,49.6%,46.5%
Rounds with a multi-kill,18.8%,19.0%,18.6%
Rounds with sniper kills percentage,0.4%,0.4%,0.5%
Saved by teammate per round,0.10,0.08,0.11
Saved teammate per round,0.11,0.09,0.13
Saves per round loss,6.4%,11.5%,1.4%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,0.7%,0.7%,0.8%
Sniper multi-kill rounds,0.0008,0.0004,0.001
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,15.5%,18.3%,12.7%
Time alive per round,1m 7s,1m 7s,1m 7s
Time opponent flashed per round,2.19,2.41,2.10
Trade kills per round,0.15,0.13,0.16
Trade kills percentage,19.9%,17.1%,22.9%
Traded deaths per round,0.14,0.13,0.15
Traded deaths percentage,20.5%,19.8%,21.1%
Utility damage per round,5.56,7.75,3.30
Utility kills per 100 rounds,1.03,1.17,0.89
Win% after opening kill,73.5%,69.8%,77.8%
