metric,Both,CT,T
1on1 win percentage,61.2%,54.5%,70.0%
Assisted kills percentage,16.9%,18.1%,15.5%
Assists per round,0.15,0.17,0.12
Attacks per round,2.84,2.75,2.19
Clutch points per round,0.02,0.02,0.03
Damage per kill,94,95,93
Damage per round,85.0,91.2,78.6
Damage per round win,96.4,101.5,90.8
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.64,0.49,0.79
Kills per round,0.78,0.83,0.73
Kills per round win,1.08,1.13,1.02
Last alive percentage,8.9%,7.3%,10.6%
Opening attempts,25.4%,26.3%,24.5%
Opening deaths per round,0.11,0.10,0.13
Opening deaths traded percentage,17.1%,15.6%,18.2%
Opening kills per round,0.14,0.16,0.12
Opening success,54.9%,61.2%,47.9%
Pistol round rating,1.25,1.34,1.16
Rating 1.0,1.14,1.24,1.05
Rounds with a kill,50.6%,53.0%,48.2%
Rounds with a multi-kill,20.1%,21.8%,18.3%
Rounds with sniper kills percentage,4.4%,6.4%,2.4%
Saved by teammate per round,0.08,0.06,0.08
Saved teammate per round,0.10,0.07,0.10
Saves per round loss,6.3%,10.4%,2.4%
Sniper kills per round,0.06,0.07,0.03
Sniper kills percentage,7.6%,10.1%,4.1%
Sniper multi-kill rounds,0.02,0.02,0.007
Sniper opening kills per round,0.01,0.02,0.006
Support rounds,16.0%,16.4%,12.1%
Time alive per round,0m 58s,0m 58s,0m 59s
Time opponent flashed per round,2.06,2.43,1.83
Trade kills per round,0.12,0.10,0.13
Trade kills percentage,14.8%,12.5%,17.5%
Traded deaths per round,0.10,0.10,0.11
Traded deaths percentage,15.9%,15.6%,16.1%
Utility damage per round,4.98,6.84,3.11
Utility kills per 100 rounds,0.73,0.92,0.45
Win% after opening kill,73.1%,73.3%,72.9%
