metric,Both,CT,T
1on1 win percentage,59.7%,51.7%,66.7%
Assisted kills percentage,18.0%,19.1%,16.6%
Assists per round,0.10,0.10,0.09
Attacks per round,2.01,2.07,1.96
Clutch points per round,0.03,0.02,0.04
Damage per kill,100,97,105
Damage per round,75.0,81.2,68.4
Damage per round win,96.8,101.7,90.4
Flash assists per round,0.07,0.05,0.09
Flashes thrown per round,1.03,0.81,1.31
Kills per round,0.75,0.84,0.65
Kills per round win,1.00,1.07,0.90
Last alive percentage,13.0%,8.2%,18.1%
Opening attempts,14.2%,16.7%,11.6%
Opening deaths per round,0.05,0.05,0.05
Opening deaths traded percentage,22.4%,22.0%,22.7%
Opening kills per round,0.09,0.11,0.07
Opening success,64.1%,68.0%,58.2%
Pistol round rating,1.22,1.27,1.17
Rating 2.0,1.16,1.25,1.06
Rounds with a kill,50.3%,55.0%,45.3%
Rounds with a multi-kill,18.4%,21.2%,15.6%
Rounds with sniper kills percentage,29.0%,37.1%,20.5%
Saved by teammate per round,0.09,0.07,0.11
Saved teammate per round,0.10,0.08,0.12
Saves per round loss,11.3%,19.7%,4.5%
Sniper kills per round,0.37,0.47,0.26
Sniper kills percentage,49.0%,56.1%,39.5%
Sniper multi-kill rounds,0.09,0.12,0.06
Sniper opening kills per round,0.06,0.08,0.04
Support rounds,18.4%,20.3%,16.4%
Time alive per round,1m 14s,1m 12s,1m 15s
Time opponent flashed per round,2.19,2.17,2.20
Trade kills per round,0.15,0.13,0.18
Trade kills percentage,20.3%,15.3%,27.0%
Traded deaths per round,0.12,0.10,0.13
Traded deaths percentage,19.8%,19.9%,19.7%
Utility damage per round,3.55,4.69,2.37
Utility kills per 100 rounds,0.56,0.72,0.40
Win% after opening kill,72.8%,74.8%,69.3%
