metric,Both,CT,T
1on1 win percentage,75.9%,73.5%,80.0%
Assisted kills percentage,19.1%,21.3%,16.5%
Assists per round,0.12,0.15,0.09
Attacks per round,3.00,3.41,2.56
Clutch points per round,0.02,0.02,0.02
Damage per kill,106,106,107
Damage per round,78.9,84.2,73.5
Damage per round win,101.9,104.8,98.7
Flash assists per round,0.04,0.03,0.04
Flashes thrown per round,0.60,0.41,0.81
Kills per round,0.74,0.79,0.69
Kills per round win,1.02,1.06,0.97
Last alive percentage,8.3%,7.8%,8.7%
Opening attempts,24.1%,22.1%,26.3%
Opening deaths per round,0.12,0.09,0.15
Opening deaths traded percentage,20.3%,18.5%,21.4%
Opening kills per round,0.12,0.13,0.11
Opening success,51.5%,60.9%,43.3%
Pistol round rating,1.12,1.23,1.02
Rating 2.0,1.12,1.15,1.08
Rounds with a kill,48.8%,51.4%,46.2%
Rounds with a multi-kill,18.9%,20.7%,17.1%
Rounds with sniper kills percentage,0.3%,0.2%,0.5%
Saved by teammate per round,0.08,0.06,0.11
Saved teammate per round,0.08,0.06,0.11
Saves per round loss,5.0%,8.8%,1.3%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.6%,0.5%,0.7%
Sniper multi-kill rounds,0.002,0.001,0.002
Sniper opening kills per round,0.0002,0.0004,0.0
Support rounds,15.8%,19.4%,12.0%
Time alive per round,1m 6s,1m 7s,1m 6s
Time opponent flashed per round,2.34,2.52,2.26
Trade kills per round,0.13,0.11,0.14
Trade kills percentage,16.9%,13.9%,20.6%
Traded deaths per round,0.12,0.10,0.14
Traded deaths percentage,18.3%,16.5%,19.9%
Utility damage per round,4.88,7.50,2.14
Utility kills per 100 rounds,0.95,1.41,0.46
Win% after opening kill,68.8%,65.9%,72.2%
