order,name,url
1,donk,https://www.hltv.org/stats/players/21167/donk?startDate=2024-01-01&endDate=2024-12-31
2,ZywOo,https://www.hltv.org/stats/players/11893/zywoo?startDate=2024-01-01&endDate=2024-12-31
3,m0NESY,https://www.hltv.org/stats/players/19230/m0nesy?startDate=2024-01-01&endDate=2024-12-31
4,kyousuke,https://www.hltv.org/stats/players/24177/kyousuke?startDate=2024-01-01&endDate=2024-12-31
5,nettik,https://www.hltv.org/stats/players/18214/nettik?startDate=2024-01-01&endDate=2024-12-31
6,INS,https://www.hltv.org/stats/players/11140/ins?startDate=2024-01-01&endDate=2024-12-31
7,JamYoung,https://www.hltv.org/stats/players/19645/jamyoung?startDate=2024-01-01&endDate=2024-12-31
8,ANa,https://www.hltv.org/stats/players/12758/ana?startDate=2024-01-01&endDate=2024-12-31
9,malbsMd,https://www.hltv.org/stats/players/11617/malbsmd?startDate=2024-01-01&endDate=2024-12-31
10,Hanka,https://www.hltv.org/stats/players/22063/hanka?startDate=2024-01-01&endDate=2024-12-31
11,HexT,https://www.hltv.org/stats/players/18838/hext?startDate=2024-01-01&endDate=2024-12-31
12,latto,https://www.hltv.org/stats/players/19045/latto?startDate=2024-01-01&endDate=2024-12-31
13,Jeorge,https://www.hltv.org/stats/players/20333/jeorge?startDate=2024-01-01&endDate=2024-12-31
14,Ph1NNN,https://www.hltv.org/stats/players/23429/ph1nnn?startDate=2024-01-01&endDate=2024-12-31
15,NiKo,https://www.hltv.org/stats/players/3741/niko?startDate=2024-01-01&endDate=2024-12-31
16,nilo,https://www.hltv.org/stats/players/20119/nilo?startDate=2024-01-01&endDate=2024-12-31
17,HeavyGod,https://www.hltv.org/stats/players/20447/heavygod?startDate=2024-01-01&endDate=2024-12-31
18,insani,https://www.hltv.org/stats/players/21037/insani?startDate=2024-01-01&endDate=2024-12-31
19,vicu,https://www.hltv.org/stats/players/22062/vicu?startDate=2024-01-01&endDate=2024-12-31
20,dumau,https://www.hltv.org/stats/players/15698/dumau?startDate=2024-01-01&endDate=2024-12-31
21,zAAz,https://www.hltv.org/stats/players/1646/zaaz?startDate=2024-01-01&endDate=2024-12-31
