metric,Both,CT,T
1on1 win percentage,64.4%,53.7%,81.8%
Assisted kills percentage,16.7%,17.4%,15.9%
Assists per round,0.13,0.13,0.13
Attacks per round,2.42,2.35,2.48
Clutch points per round,0.03,0.03,0.04
Damage per kill,105,103,108
Damage per round,85.8,89.5,82.0
Damage per round win,112.3,117.0,107.5
Flash assists per round,0.08,0.07,0.08
Flashes thrown per round,0.70,0.58,0.82
Kills per round,0.81,0.87,0.76
Kills per round win,1.12,1.20,1.04
Last alive percentage,10.9%,10.3%,11.5%
Opening attempts,23.5%,25.0%,22.1%
Opening deaths per round,0.09,0.08,0.10
Opening deaths traded percentage,25.9%,18.8%,31.3%
Opening kills per round,0.15,0.17,0.12
Opening success,62.6%,69.7%,54.4%
Pistol round rating,1.42,1.36,1.47
Rating 2.0,1.30,1.31,1.28
Rounds with a kill,51.4%,53.5%,49.3%
Rounds with a multi-kill,21.3%,23.4%,19.2%
Rounds with sniper kills percentage,24.1%,32.0%,16.1%
Saved by teammate per round,0.10,0.09,0.12
Saved teammate per round,0.12,0.09,0.15
Saves per round loss,8.4%,15.1%,1.6%
Sniper kills per round,0.33,0.44,0.21
Sniper kills percentage,40.3%,51.0%,27.8%
Sniper multi-kill rounds,0.09,0.13,0.05
Sniper opening kills per round,0.08,0.12,0.04
Support rounds,16.7%,18.1%,15.4%
Time alive per round,1m 9s,1m 8s,1m 9s
Time opponent flashed per round,2.56,2.91,2.32
Trade kills per round,0.15,0.12,0.19
Trade kills percentage,18.6%,13.6%,24.4%
Traded deaths per round,0.14,0.13,0.15
Traded deaths percentage,23.1%,22.3%,23.8%
Utility damage per round,4.33,6.03,2.61
Utility kills per 100 rounds,1.15,1.53,0.77
Win% after opening kill,75.0%,71.8%,79.6%
