metric,variant,value,unit,grade
Round swing,single,+1.45,%,Good
DPR,traditional,0.66,,Okay
DPR,ecoAdjusted,0.70,,Okay
KAST,traditional,73.8,%,Okay
KAST,ecoAdjusted,69.7,%,Okay
Multi-kill,traditional,19.7,%,Good
MK rating,ecoAdjusted,1.17,,Good
ADR,traditional,85.2,,Good
ADR,ecoAdjusted,83.0,,Good
KPR,traditional,0.75,,Good
KPR,ecoAdjusted,0.75,,Good
