metric,Both,CT,T
1on1 win percentage,68.8%,65.6%,75.0%
Assisted kills percentage,17.1%,17.8%,16.4%
Assists per round,0.12,0.14,0.10
Attacks per round,2.56,2.78,2.32
Clutch points per round,0.03,0.02,0.03
Damage per kill,110,110,109
Damage per round,74.8,79.4,70.0
Damage per round win,96.2,97.5,94.6
Flash assists per round,0.04,0.04,0.05
Flashes thrown per round,0.62,0.47,0.80
Kills per round,0.68,0.72,0.64
Kills per round win,0.94,0.95,0.93
Last alive percentage,8.2%,7.0%,9.5%
Opening attempts,21.8%,21.4%,22.3%
Opening deaths per round,0.10,0.09,0.12
Opening deaths traded percentage,20.7%,19.6%,21.5%
Opening kills per round,0.12,0.13,0.10
Opening success,52.8%,59.7%,45.8%
Pistol round rating,1.24,1.13,1.34
Rating 2.0,1.10,1.15,1.05
Rounds with a kill,46.2%,48.4%,43.9%
Rounds with a multi-kill,16.9%,18.4%,15.3%
Rounds with sniper kills percentage,1.3%,2.0%,0.5%
Saved by teammate per round,0.09,0.07,0.10
Saved teammate per round,0.09,0.08,0.11
Saves per round loss,8.3%,15.3%,2.0%
Sniper kills per round,0.02,0.03,0.01
Sniper kills percentage,2.5%,3.5%,1.2%
Sniper multi-kill rounds,0.004,0.005,0.002
Sniper opening kills per round,0.001,0.003,0.0
Support rounds,19.8%,25.0%,14.3%
Time alive per round,1m 13s,1m 14s,1m 13s
Time opponent flashed per round,2.15,2.22,2.12
Trade kills per round,0.12,0.11,0.14
Trade kills percentage,18.0%,15.1%,21.6%
Traded deaths per round,0.13,0.12,0.14
Traded deaths percentage,20.1%,20.8%,19.5%
Utility damage per round,4.25,5.96,2.41
Utility kills per 100 rounds,0.55,0.58,0.51
Win% after opening kill,76.5%,73.4%,80.7%
