order,name,url
1,ZywOo,https://www.hltv.org/stats/players/11893/zywoo?startDate=2020-01-01&endDate=2020-12-31
2,s1mple,https://www.hltv.org/stats/players/7998/s1mple?startDate=2020-01-01&endDate=2020-12-31
3,device,https://www.hltv.org/stats/players/7592/device?startDate=2020-01-01&endDate=2020-12-31
4,NiKo,https://www.hltv.org/stats/players/3741/niko?startDate=2020-01-01&endDate=2020-12-31
5,electroNic,https://www.hltv.org/stats/players/8918/electronic?startDate=2020-01-01&endDate=2020-12-31
6,blameF,https://www.hltv.org/stats/players/15165/blamef?startDate=2020-01-01&endDate=2020-12-31
7,ropz,https://www.hltv.org/stats/players/11816/ropz?startDate=2020-01-01&endDate=2020-12-31
8,EliGE,https://www.hltv.org/stats/players/8738/elige?startDate=2020-01-01&endDate=2020-12-31
9,dupreeh,https://www.hltv.org/stats/players/7398/dupreeh?startDate=2020-01-01&endDate=2020-12-31
10,syrsoN,https://www.hltv.org/stats/players/7266/syrson?startDate=2020-01-01&endDate=2020-12-31
11,Magisk,https://www.hltv.org/stats/players/9032/magisk?startDate=2020-01-01&endDate=2020-12-31
12,stavn,https://www.hltv.org/stats/players/10994/stavn?startDate=2020-01-01&endDate=2020-12-31
13,huNter-,https://www.hltv.org/stats/players/3972/hunter?startDate=2020-01-01&endDate=2020-12-31
14,yuurih,https://www.hltv.org/stats/players/12553/yuurih?startDate=2020-01-01&endDate=2020-12-31
15,Brollan,https://www.hltv.org/stats/players/13666/brollan?startDate=2020-01-01&endDate=2020-12-31
16,HEN1,https://www.hltv.org/stats/players/8565/hen1?startDate=2020-01-01&endDate=2020-12-31
17,KRIMZ,https://www.hltv.org/stats/players/7528/krimz?startDate=2020-01-01&endDate=2020-12-31
18,KSCERATO,https://www.hltv.org/stats/players/15631/kscerato?startDate=2020-01-01&endDate=2020-12-31
19,jks,https://www.hltv.org/stats/players/4679/jks?startDate=2020-01-01&endDate=2020-12-31
20,Brehze,https://www.hltv.org/stats/players/9136/brehze?startDate=2020-01-01&endDate=2020-12-31
