metric,Both,CT,T
1on1 win percentage,51.9%,44.7%,63.3%
Assisted kills percentage,19.6%,20.6%,18.5%
Assists per round,0.11,0.12,0.10
Attacks per round,2.54,2.74,2.35
Clutch points per round,0.03,0.02,0.04
Damage per kill,104,106,102
Damage per round,74.1,74.6,73.7
Damage per round win,90.2,88.4,91.9
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.80,0.55,1.03
Kills per round,0.71,0.71,0.72
Kills per round win,0.92,0.89,0.95
Last alive percentage,10.5%,10.4%,10.6%
Opening attempts,15.4%,13.7%,17.1%
Opening deaths per round,0.08,0.06,0.09
Opening deaths traded percentage,31.1%,25.6%,34.5%
Opening kills per round,0.08,0.08,0.08
Opening success,50.6%,56.8%,45.7%
Pistol round rating,1.35,1.35,1.35
Rating 2.0,1.14,1.10,1.17
Rounds with a kill,47.8%,48.2%,47.4%
Rounds with a multi-kill,17.7%,17.2%,18.2%
Rounds with sniper kills percentage,0.7%,1.2%,0.3%
Saved by teammate per round,0.10,0.08,0.12
Saved teammate per round,0.12,0.10,0.14
Saves per round loss,8.0%,14.8%,1.6%
Sniper kills per round,0.01,0.01,0.00
Sniper kills percentage,1.2%,2.0%,0.5%
Sniper multi-kill rounds,0.001,0.002,0.0003
Sniper opening kills per round,0.001,0.002,0.0
Support rounds,21.0%,25.7%,16.2%
Time alive per round,1m 12s,1m 12s,1m 11s
Time opponent flashed per round,2.26,2.34,2.21
Trade kills per round,0.16,0.13,0.18
Trade kills percentage,21.9%,18.8%,24.8%
Traded deaths per round,0.13,0.11,0.15
Traded deaths percentage,22.6%,20.8%,24.1%
Utility damage per round,3.67,5.36,2.00
Utility kills per 100 rounds,0.66,1.06,0.27
Win% after opening kill,76.4%,77.9%,74.9%
