metric,Both,CT,T
1on1 win percentage,63.4%,60.5%,66.7%
Assisted kills percentage,18.3%,19.6%,16.9%
Assists per round,0.14,0.16,0.12
Attacks per round,3.14,3.36,2.91
Clutch points per round,0.02,0.02,0.02
Damage per kill,111,112,110
Damage per round,82.4,84.3,80.4
Damage per round win,104.3,105.9,102.7
Flash assists per round,0.03,0.03,0.04
Flashes thrown per round,0.59,0.39,0.81
Kills per round,0.74,0.75,0.73
Kills per round win,1.02,1.03,1.01
Last alive percentage,9.9%,8.7%,11.1%
Opening attempts,18.7%,16.7%,20.8%
Opening deaths per round,0.09,0.07,0.11
Opening deaths traded percentage,24.8%,21.7%,26.8%
Opening kills per round,0.10,0.10,0.10
Opening success,51.6%,58.2%,46.1%
Pistol round rating,1.14,1.15,1.13
Rating 2.0,1.17,1.15,1.19
Rounds with a kill,48.8%,50.6%,46.8%
Rounds with a multi-kill,18.5%,18.2%,18.9%
Rounds with sniper kills percentage,0.4%,0.5%,0.3%
Saved by teammate per round,0.09,0.08,0.11
Saved teammate per round,0.10,0.08,0.11
Saves per round loss,10.0%,15.8%,3.7%
Sniper kills per round,0.01,0.01,0.00
Sniper kills percentage,0.7%,0.9%,0.5%
Sniper multi-kill rounds,0.001,0.0007,0.001
Sniper opening kills per round,0.0006,0.0004,0.0008
Support rounds,18.3%,21.4%,15.2%
Time alive per round,1m 9s,1m 7s,1m 12s
Time opponent flashed per round,2.25,2.59,2.09
Trade kills per round,0.14,0.13,0.14
Trade kills percentage,18.3%,17.2%,19.4%
Traded deaths per round,0.14,0.12,0.16
Traded deaths percentage,21.9%,20.6%,23.0%
Utility damage per round,4.58,5.60,3.54
Utility kills per 100 rounds,0.67,1.00,0.34
Win% after opening kill,75.0%,74.1%,75.8%
