metric,Both,CT,T
1on1 win percentage,52.7%,42.4%,68.2%
Assisted kills percentage,19.4%,21.5%,16.9%
Assists per round,0.13,0.16,0.10
Attacks per round,2.94,3.32,2.57
Clutch points per round,0.02,0.02,0.03
Damage per kill,110,109,111
Damage per round,78.4,84.3,72.5
Damage per round win,97.7,102.4,92.3
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.54,0.44,0.64
Kills per round,0.71,0.77,0.65
Kills per round win,0.95,1.01,0.90
Last alive percentage,12.4%,10.1%,14.8%
Opening attempts,18.8%,18.2%,19.3%
Opening deaths per round,0.08,0.07,0.10
Opening deaths traded percentage,20.5%,18.4%,22.0%
Opening kills per round,0.10,0.11,0.09
Opening success,54.8%,61.5%,48.4%
Pistol round rating,1.14,1.05,1.23
Rating 2.0,1.17,1.24,1.10
Rounds with a kill,48.0%,50.4%,45.6%
Rounds with a multi-kill,17.8%,20.3%,15.3%
Rounds with sniper kills percentage,0.4%,0.3%,0.4%
Saved by teammate per round,0.08,0.08,0.09
Saved teammate per round,0.10,0.10,0.11
Saves per round loss,13.8%,22.6%,6.4%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.6%,0.6%,0.7%
Sniper multi-kill rounds,0.0007,0.001,0.0005
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,22.0%,25.5%,18.4%
Time alive per round,1m 14s,1m 14s,1m 14s
Time opponent flashed per round,2.16,2.43,1.97
Trade kills per round,0.14,0.13,0.16
Trade kills percentage,20.2%,17.1%,23.9%
Traded deaths per round,0.11,0.10,0.11
Traded deaths percentage,18.2%,19.5%,17.3%
Utility damage per round,6.50,8.99,4.00
Utility kills per 100 rounds,1.45,2.05,0.86
Win% after opening kill,74.7%,74.5%,75.0%
