metric,Both,CT,T
1on1 win percentage,80.0%,79.3%,81.0%
Assisted kills percentage,19.5%,21.1%,17.5%
Assists per round,0.12,0.12,0.13
Attacks per round,2.37,2.36,2.38
Clutch points per round,0.04,0.04,0.04
Damage per kill,102,97,107
Damage per round,82.6,86.3,78.8
Damage per round win,104.6,110.4,98.4
Flash assists per round,0.06,0.06,0.06
Flashes thrown per round,0.77,0.72,0.85
Kills per round,0.81,0.89,0.74
Kills per round win,1.08,1.18,0.97
Last alive percentage,10.4%,9.8%,11.0%
Opening attempts,22.3%,24.4%,20.2%
Opening deaths per round,0.09,0.08,0.09
Opening deaths traded percentage,23.6%,16.8%,30.3%
Opening kills per round,0.14,0.16,0.11
Opening success,61.7%,66.0%,56.2%
Pistol round rating,1.57,1.59,1.56
Rating 2.0,1.31,1.34,1.26
Rounds with a kill,52.0%,54.4%,49.6%
Rounds with a multi-kill,21.6%,25.0%,18.1%
Rounds with sniper kills percentage,20.2%,28.0%,11.9%
Saved by teammate per round,0.08,0.06,0.10
Saved teammate per round,0.12,0.10,0.14
Saves per round loss,11.8%,19.9%,3.6%
Sniper kills per round,0.28,0.40,0.15
Sniper kills percentage,34.1%,45.3%,20.1%
Sniper multi-kill rounds,0.07,0.11,0.03
Sniper opening kills per round,0.06,0.09,0.03
Support rounds,19.7%,21.4%,18.0%
Time alive per round,1m 14s,1m 14s,1m 14s
Time opponent flashed per round,2.32,2.53,2.14
Trade kills per round,0.16,0.13,0.19
Trade kills percentage,19.3%,14.3%,25.6%
Traded deaths per round,0.12,0.10,0.14
Traded deaths percentage,20.6%,18.4%,22.7%
Utility damage per round,3.49,3.72,3.25
Utility kills per 100 rounds,0.63,0.56,0.70
Win% after opening kill,75.8%,75.8%,75.9%
