metric,Both,CT,T
1on1 win percentage,70.0%,65.8%,75.0%
Assisted kills percentage,29.7%,28.3%,31.2%
Assists per round,0.15,0.15,0.15
Attacks per round,2.21,2.18,2.23
Clutch points per round,0.03,0.03,0.03
Damage per kill,102,100,104
Damage per round,73.1,77.4,69.0
Damage per round win,92.9,100.4,85.5
Flash assists per round,0.07,0.06,0.08
Flashes thrown per round,0.90,0.55,1.19
Kills per round,0.72,0.78,0.66
Kills per round win,0.96,1.07,0.85
Last alive percentage,12.8%,9.5%,15.9%
Opening attempts,13.3%,15.8%,11.0%
Opening deaths per round,0.05,0.05,0.05
Opening deaths traded percentage,30.5%,18.4%,42.2%
Opening kills per round,0.09,0.11,0.06
Opening success,64.0%,69.3%,57.0%
Pistol round rating,1.19,1.21,1.17
Rating 3.0,1.08,1.11,1.06
Rounds with a kill,49.3%,52.6%,46.2%
Rounds with a multi-kill,17.2%,19.3%,15.3%
Rounds with sniper kills percentage,21.8%,28.8%,15.2%
Saved by teammate per round,0.11,0.08,0.14
Saved teammate per round,0.12,0.09,0.15
Saves per round loss,11.3%,20.7%,2.9%
Sniper kills per round,0.28,0.37,0.19
Sniper kills percentage,39.1%,48.2%,29.1%
Sniper multi-kill rounds,0.07,0.10,0.04
Sniper opening kills per round,0.05,0.08,0.03
Support rounds,21.5%,22.9%,20.1%
Time alive per round,1m 14s,1m 13s,1m 15s
Time opponent flashed per round,2.11,2.48,1.94
Trade kills per round,0.16,0.14,0.19
Trade kills percentage,22.9%,17.5%,29.0%
Traded deaths per round,0.13,0.10,0.15
Traded deaths percentage,20.6%,19.0%,21.8%
Utility damage per round,3.37,3.82,2.95
Utility kills per 100 rounds,0.74,1.14,0.37
Win% after opening kill,76.7%,77.4%,75.6%
