metric,Both,CT,T
1on1 win percentage,59.0%,51.5%,67.9%
Assisted kills percentage,18.2%,19.4%,16.9%
Assists per round,0.15,0.17,0.14
Attacks per round,3.12,3.31,2.94
Clutch points per round,0.02,0.01,0.03
Damage per kill,113,112,115
Damage per round,82.2,87.4,77.0
Damage per round win,100.9,105.9,95.8
Flash assists per round,0.07,0.06,0.07
Flashes thrown per round,0.74,0.58,0.89
Kills per round,0.73,0.78,0.67
Kills per round win,0.96,1.02,0.89
Last alive percentage,10.3%,7.7%,13.0%
Opening attempts,17.2%,17.4%,16.9%
Opening deaths per round,0.07,0.06,0.08
Opening deaths traded percentage,21.8%,19.8%,23.4%
Opening kills per round,0.10,0.11,0.09
Opening success,57.5%,64.0%,50.8%
Pistol round rating,1.11,1.01,1.21
Rating 2.0,1.18,1.20,1.15
Rounds with a kill,48.8%,51.6%,46.0%
Rounds with a multi-kill,17.9%,19.7%,16.1%
Rounds with sniper kills percentage,8.4%,13.9%,3.0%
Saved by teammate per round,0.09,0.08,0.11
Saved teammate per round,0.09,0.08,0.10
Saves per round loss,8.3%,14.7%,2.2%
Sniper kills per round,0.11,0.18,0.04
Sniper kills percentage,15.1%,23.2%,5.7%
Sniper multi-kill rounds,0.02,0.04,0.009
Sniper opening kills per round,0.03,0.04,0.006
Support rounds,19.5%,21.1%,18.0%
Time alive per round,1m 11s,1m 10s,1m 11s
Time opponent flashed per round,2.64,2.93,2.46
Trade kills per round,0.14,0.13,0.15
Trade kills percentage,19.1%,16.1%,22.5%
Traded deaths per round,0.13,0.12,0.14
Traded deaths percentage,20.6%,20.3%,20.9%
Utility damage per round,6.28,8.15,4.44
Utility kills per 100 rounds,0.99,1.10,0.88
Win% after opening kill,74.8%,73.1%,77.0%
