metric,Both,CT,T
1on1 win percentage,65.2%,50.0%,88.9%
Assisted kills percentage,18.6%,19.2%,17.8%
Assists per round,0.07,0.08,0.06
Attacks per round,1.75,1.79,1.71
Clutch points per round,0.03,0.02,0.04
Damage per kill,101,99,104
Damage per round,66.1,71.9,60.3
Damage per round win,83.6,89.9,75.8
Flash assists per round,0.12,0.08,0.15
Flashes thrown per round,1.09,0.77,1.42
Kills per round,0.66,0.73,0.58
Kills per round win,0.86,0.95,0.76
Last alive percentage,16.4%,11.1%,21.7%
Opening attempts,15.2%,17.9%,12.5%
Opening deaths per round,0.05,0.05,0.05
Opening deaths traded percentage,18.0%,21.5%,14.8%
Opening kills per round,0.10,0.13,0.07
Opening success,67.1%,73.8%,57.5%
Pistol round rating,0.92,0.84,0.99
Rating 2.0,1.12,1.21,1.04
Rounds with a kill,46.3%,50.9%,41.6%
Rounds with a multi-kill,15.5%,18.0%,12.9%
Rounds with sniper kills percentage,33.6%,41.4%,25.7%
Saved by teammate per round,0.06,0.06,0.06
Saved teammate per round,0.08,0.08,0.08
Saves per round loss,22.9%,33.7%,14.1%
Sniper kills per round,0.42,0.53,0.31
Sniper kills percentage,64.0%,72.3%,53.4%
Sniper multi-kill rounds,0.10,0.13,0.07
Sniper opening kills per round,0.09,0.12,0.06
Support rounds,24.4%,26.0%,22.7%
Time alive per round,1m 25s,1m 21s,1m 28s
Time opponent flashed per round,2.67,3.08,2.45
Trade kills per round,0.12,0.11,0.13
Trade kills percentage,18.5%,15.0%,23.0%
Traded deaths per round,0.08,0.08,0.08
Traded deaths percentage,16.4%,18.6%,14.7%
Utility damage per round,4.38,5.95,2.79
Utility kills per 100 rounds,1.11,1.31,0.91
Win% after opening kill,80.1%,82.4%,75.6%
