metric,variant,value,unit,grade
Round swing,single,+0.78,%,Okay
DPR,traditional,0.57,,Good
DPR,ecoAdjusted,0.62,,Good
KAST,traditional,75.0,%,Good
KAST,ecoAdjusted,72.7,%,Good
Multi-kill,traditional,16.6,%,Okay
MK rating,ecoAdjusted,1.02,,Okay
ADR,traditional,70.1,,Poor
ADR,ecoAdjusted,67.7,,Poor
KPR,traditional,0.71,,Okay
KPR,ecoAdjusted,0.66,,Okay
