metric,Both,CT,T
1on1 win percentage,68.3%,57.6%,80.0%
Assisted kills percentage,19.5%,20.3%,18.6%
Assists per round,0.10,0.11,0.09
Attacks per round,2.17,2.09,2.24
Clutch points per round,0.04,0.03,0.04
Damage per kill,99,97,101
Damage per round,77.3,79.3,75.5
Damage per round win,99.3,103.1,95.6
Flash assists per round,0.06,0.06,0.06
Flashes thrown per round,0.61,0.46,0.74
Kills per round,0.78,0.82,0.75
Kills per round win,1.05,1.11,0.98
Last alive percentage,13.3%,11.3%,15.1%
Opening attempts,15.5%,16.7%,14.4%
Opening deaths per round,0.05,0.05,0.06
Opening deaths traded percentage,16.6%,14.1%,18.6%
Opening kills per round,0.10,0.12,0.09
Opening success,65.6%,69.9%,60.8%
Pistol round rating,1.20,1.11,1.29
Rating 2.0,1.23,1.24,1.23
Rounds with a kill,52.3%,54.0%,50.6%
Rounds with a multi-kill,19.1%,19.9%,18.3%
Rounds with sniper kills percentage,31.1%,38.7%,23.9%
Saved by teammate per round,0.07,0.06,0.09
Saved teammate per round,0.12,0.09,0.14
Saves per round loss,16.6%,23.8%,10.0%
Sniper kills per round,0.40,0.51,0.30
Sniper kills percentage,51.0%,62.4%,39.3%
Sniper multi-kill rounds,0.10,0.13,0.07
Sniper opening kills per round,0.07,0.10,0.05
Support rounds,19.1%,21.6%,16.7%
Time alive per round,1m 19s,1m 16s,1m 22s
Time opponent flashed per round,2.46,2.94,2.17
Trade kills per round,0.18,0.15,0.20
Trade kills percentage,22.5%,18.9%,26.2%
Traded deaths per round,0.10,0.09,0.11
Traded deaths percentage,17.5%,16.9%,18.0%
Utility damage per round,4.20,4.76,3.67
Utility kills per 100 rounds,1.23,1.32,1.15
Win% after opening kill,77.0%,77.4%,76.5%
