metric,Both,CT,T
1on1 win percentage,71.4%,66.7%,76.0%
Assisted kills percentage,17.2%,17.1%,17.4%
Assists per round,0.10,0.11,0.09
Attacks per round,2.05,2.15,1.94
Clutch points per round,0.03,0.02,0.04
Damage per kill,100,99,102
Damage per round,82.9,89.3,76.1
Damage per round win,110.3,116.3,102.8
Flash assists per round,0.05,0.04,0.06
Flashes thrown per round,0.80,0.60,1.05
Kills per round,0.83,0.90,0.75
Kills per round win,1.12,1.19,1.02
Last alive percentage,11.5%,8.8%,14.4%
Opening attempts,23.4%,26.8%,19.7%
Opening deaths per round,0.09,0.09,0.10
Opening deaths traded percentage,16.0%,11.4%,20.5%
Opening kills per round,0.14,0.18,0.10
Opening success,60.8%,67.3%,51.4%
Pistol round rating,1.27,1.37,1.16
Rating 2.0,1.25,1.34,1.17
Rounds with a kill,53.7%,57.7%,49.6%
Rounds with a multi-kill,21.4%,23.5%,19.2%
Rounds with sniper kills percentage,27.3%,35.6%,18.6%
Saved by teammate per round,0.08,0.06,0.09
Saved teammate per round,0.11,0.09,0.13
Saves per round loss,11.1%,18.7%,4.6%
Sniper kills per round,0.36,0.47,0.24
Sniper kills percentage,43.2%,51.7%,32.4%
Sniper multi-kill rounds,0.10,0.13,0.06
Sniper opening kills per round,0.08,0.13,0.04
Support rounds,15.1%,16.9%,13.2%
Time alive per round,1m 15s,1m 14s,1m 16s
Time opponent flashed per round,2.18,2.34,2.10
Trade kills per round,0.15,0.13,0.16
Trade kills percentage,17.8%,14.7%,21.7%
Traded deaths per round,0.11,0.09,0.12
Traded deaths percentage,17.5%,16.8%,18.1%
Utility damage per round,3.20,4.58,1.74
Utility kills per 100 rounds,0.93,1.01,0.84
Win% after opening kill,76.6%,76.0%,77.9%
