metric,Both,CT,T
1on1 win percentage,58.8%,56.9%,63.6%
Assisted kills percentage,16.4%,18.9%,13.4%
Assists per round,0.14,0.16,0.12
Attacks per round,2.92,3.12,2.72
Clutch points per round,0.02,0.02,0.02
Damage per kill,112,109,115
Damage per round,80.9,83.8,77.8
Damage per round win,103.4,104.3,102.3
Flash assists per round,0.04,0.04,0.05
Flashes thrown per round,0.59,0.43,0.77
Kills per round,0.72,0.77,0.68
Kills per round win,0.98,1.02,0.93
Last alive percentage,9.9%,8.6%,11.3%
Opening attempts,19.7%,18.9%,20.6%
Opening deaths per round,0.09,0.07,0.11
Opening deaths traded percentage,31.2%,28.6%,32.9%
Opening kills per round,0.11,0.12,0.10
Opening success,54.8%,63.0%,47.0%
Pistol round rating,1.14,1.11,1.17
Rating 2.0,1.13,1.16,1.11
Rounds with a kill,49.4%,51.6%,47.0%
Rounds with a multi-kill,17.8%,19.4%,16.1%
Rounds with sniper kills percentage,7.6%,13.3%,1.8%
Saved by teammate per round,0.10,0.08,0.11
Saved teammate per round,0.11,0.09,0.12
Saves per round loss,6.5%,11.6%,1.7%
Sniper kills per round,0.10,0.17,0.02
Sniper kills percentage,13.2%,21.8%,3.0%
Sniper multi-kill rounds,0.02,0.04,0.004
Sniper opening kills per round,0.02,0.04,0.002
Support rounds,17.2%,19.6%,14.6%
Time alive per round,1m 5s,1m 7s,1m 4s
Time opponent flashed per round,2.59,2.65,2.56
Trade kills per round,0.14,0.12,0.15
Trade kills percentage,18.7%,16.0%,21.9%
Traded deaths per round,0.13,0.12,0.15
Traded deaths percentage,20.5%,20.1%,20.9%
Utility damage per round,5.43,7.65,3.12
Utility kills per 100 rounds,1.13,1.80,0.44
Win% after opening kill,73.6%,72.2%,75.5%
