metric,Both,CT,T
1on1 win percentage,57.9%,48.3%,67.9%
Assisted kills percentage,17.9%,19.4%,16.1%
Assists per round,0.14,0.15,0.12
Attacks per round,2.68,2.89,2.46
Clutch points per round,0.02,0.01,0.02
Damage per kill,109,108,111
Damage per round,80.4,83.0,77.7
Damage per round win,103.6,103.2,104.0
Flash assists per round,0.03,0.02,0.03
Flashes thrown per round,0.50,0.40,0.64
Kills per round,0.74,0.77,0.70
Kills per round win,1.02,1.03,1.00
Last alive percentage,8.5%,7.2%,9.9%
Opening attempts,22.6%,22.3%,22.8%
Opening deaths per round,0.11,0.09,0.12
Opening deaths traded percentage,22.1%,18.0%,25.0%
Opening kills per round,0.12,0.14,0.10
Opening success,53.3%,61.0%,45.4%
Pistol round rating,1.10,1.07,1.13
Rating 2.0,1.13,1.14,1.12
Rounds with a kill,49.3%,51.5%,47.0%
Rounds with a multi-kill,18.2%,19.2%,17.2%
Rounds with sniper kills percentage,4.4%,5.8%,2.9%
Saved by teammate per round,0.10,0.08,0.11
Saved teammate per round,0.09,0.07,0.11
Saves per round loss,5.8%,9.3%,2.6%
Sniper kills per round,0.06,0.08,0.04
Sniper kills percentage,8.1%,10.4%,5.4%
Sniper multi-kill rounds,0.01,0.02,0.008
Sniper opening kills per round,0.01,0.01,0.005
Support rounds,15.9%,18.9%,12.7%
Time alive per round,1m 4s,1m 4s,1m 4s
Time opponent flashed per round,1.81,2.00,1.70
Trade kills per round,0.12,0.11,0.14
Trade kills percentage,16.7%,14.1%,19.7%
Traded deaths per round,0.14,0.12,0.16
Traded deaths percentage,20.3%,18.7%,21.7%
Utility damage per round,2.59,4.00,1.13
Utility kills per 100 rounds,0.43,0.66,0.18
Win% after opening kill,72.8%,74.2%,71.0%
