metric,Both,CT,T
1on1 win percentage,66.0%,50.0%,83.3%
Assisted kills percentage,16.8%,16.5%,17.2%
Assists per round,0.14,0.16,0.13
Attacks per round,3.18,3.60,2.78
Clutch points per round,0.02,0.01,0.03
Damage per kill,110,110,109
Damage per round,85.7,93.5,77.9
Damage per round win,110.0,118.5,101.5
Flash assists per round,0.04,0.03,0.04
Flashes thrown per round,0.58,0.39,0.77
Kills per round,0.78,0.85,0.71
Kills per round win,1.07,1.17,0.97
Last alive percentage,6.7%,5.6%,7.9%
Opening attempts,25.2%,26.4%,24.1%
Opening deaths per round,0.12,0.11,0.13
Opening deaths traded percentage,18.9%,14.3%,22.5%
Opening kills per round,0.13,0.16,0.11
Opening success,53.1%,59.9%,45.8%
Pistol round rating,1.16,1.08,1.24
Rating 2.0,1.21,1.25,1.16
Rounds with a kill,50.3%,54.1%,46.6%
Rounds with a multi-kill,20.2%,22.1%,18.4%
Rounds with sniper kills percentage,0.6%,0.6%,0.5%
Saved by teammate per round,0.09,0.07,0.11
Saved teammate per round,0.11,0.09,0.13
Saves per round loss,5.9%,11.1%,1.0%
Sniper kills per round,0.01,0.01,0.00
Sniper kills percentage,0.8%,0.9%,0.6%
Sniper multi-kill rounds,0.001,0.002,0.0003
Sniper opening kills per round,0.0005,0.0007,0.0003
Support rounds,15.3%,15.9%,14.6%
Time alive per round,1m 5s,1m 5s,1m 6s
Time opponent flashed per round,2.34,2.70,2.15
Trade kills per round,0.14,0.13,0.16
Trade kills percentage,18.5%,15.7%,21.8%
Traded deaths per round,0.13,0.12,0.15
Traded deaths percentage,20.5%,18.9%,22.0%
Utility damage per round,4.70,6.33,3.08
Utility kills per 100 rounds,0.87,1.27,0.47
Win% after opening kill,78.5%,78.7%,78.2%
