metric,Both,CT,T
1on1 win percentage,63.8%,60.0%,67.9%
Assisted kills percentage,14.7%,15.4%,13.9%
Assists per round,0.13,0.17,0.10
Attacks per round,2.85,3.21,2.47
Clutch points per round,0.02,0.01,0.03
Damage per kill,112,113,110
Damage per round,86.1,93.8,78.2
Damage per round win,114.5,122.9,105.2
Flash assists per round,0.06,0.06,0.07
Flashes thrown per round,0.84,0.61,1.10
Kills per round,0.77,0.83,0.71
Kills per round win,1.07,1.14,1.00
Last alive percentage,9.3%,6.5%,12.2%
Opening attempts,27.0%,30.4%,23.6%
Opening deaths per round,0.12,0.11,0.13
Opening deaths traded percentage,19.7%,17.4%,21.8%
Opening kills per round,0.15,0.19,0.10
Opening success,54.8%,63.0%,43.9%
Pistol round rating,1.16,1.23,1.09
Rating 2.0,1.19,1.26,1.11
Rounds with a kill,50.4%,53.4%,47.3%
Rounds with a multi-kill,19.3%,20.9%,17.6%
Rounds with sniper kills percentage,6.3%,10.4%,1.9%
Saved by teammate per round,0.08,0.07,0.10
Saved teammate per round,0.10,0.07,0.14
Saves per round loss,8.6%,15.1%,2.3%
Sniper kills per round,0.08,0.14,0.03
Sniper kills percentage,10.7%,16.6%,3.6%
Sniper multi-kill rounds,0.02,0.03,0.005
Sniper opening kills per round,0.03,0.05,0.004
Support rounds,15.1%,17.8%,12.2%
Time alive per round,1m 7s,1m 8s,1m 7s
Time opponent flashed per round,2.60,2.88,2.44
Trade kills per round,0.14,0.11,0.17
Trade kills percentage,18.0%,13.6%,23.4%
Traded deaths per round,0.12,0.10,0.13
Traded deaths percentage,17.5%,16.8%,18.1%
Utility damage per round,5.85,8.62,2.95
Utility kills per 100 rounds,0.83,1.12,0.53
Win% after opening kill,74.6%,74.0%,75.8%
