spearman,kendall_tau,top5_overlap,top1_acc,year
0.06917293233082707,0.042105263157894736,0.4,0.0,2016
0.5774436090225563,0.39999999999999997,0.8,0.0,2017
0.5909774436090225,0.4736842105263158,0.6,1.0,2018
0.7684210526315788,0.6105263157894737,0.8,1.0,2019
0.6947368421052631,0.5157894736842106,0.8,1.0,2020
0.556390977443609,0.43157894736842106,0.8,1.0,2021
0.8285714285714285,0.6736842105263158,1.0,0.0,2022
0.4857142857142857,0.35789473684210527,0.4,1.0,2023
0.6015037593984961,0.43157894736842106,0.6,0.0,2024
0.7398496240601502,0.5578947368421052,0.8,0.0,2025
