spearman,kendall_tau,top5_overlap,top1_acc,year
0.33082706766917286,0.24210526315789474,0.6,1.0,2016
0.6390977443609022,0.4736842105263158,0.6,0.0,2017
0.7909774436090224,0.6421052631578947,0.8,1.0,2018
0.9052631578947368,0.7578947368421053,0.8,1.0,2019
0.7338345864661654,0.5684210526315789,0.8,0.0,2020
0.5022556390977443,0.4210526315789474,0.8,1.0,2021
0.8300751879699247,0.6736842105263158,1.0,1.0,2022
0.5819548872180451,0.4210526315789474,0.4,1.0,2023
0.6616541353383457,0.4842105263157895,0.6,0.0,2024
0.6812030075187969,0.5052631578947369,0.8,0.0,2025
