metric,Both,CT,T
1on1 win percentage,57.5%,53.8%,64.3%
Assisted kills percentage,26.0%,27.8%,23.9%
Assists per round,0.18,0.17,0.19
Attacks per round,2.60,2.53,2.67
Clutch points per round,0.04,0.03,0.05
Damage per kill,103,99,108
Damage per round,88.9,91.0,86.9
Damage per round win,112.5,117.8,107.5
Flash assists per round,0.05,0.05,0.05
Flashes thrown per round,0.63,0.54,0.72
Kills per round,0.86,0.92,0.81
Kills per round win,1.12,1.20,1.03
Last alive percentage,11.2%,11.8%,10.6%
Opening attempts,21.7%,22.1%,21.3%
Opening deaths per round,0.08,0.07,0.09
Opening deaths traded percentage,21.4%,17.3%,24.6%
Opening kills per round,0.14,0.15,0.13
Opening success,64.2%,68.9%,59.3%
Pistol round rating,1.36,1.21,1.50
Rating 3.0,1.36,1.35,1.37
Rounds with a kill,54.7%,57.2%,52.2%
Rounds with a multi-kill,23.3%,25.3%,21.3%
Rounds with sniper kills percentage,20.3%,27.3%,13.3%
Saved by teammate per round,0.09,0.07,0.11
Saved teammate per round,0.13,0.11,0.15
Saves per round loss,8.5%,14.5%,2.2%
Sniper kills per round,0.27,0.36,0.18
Sniper kills percentage,31.1%,38.6%,22.4%
Sniper multi-kill rounds,0.07,0.10,0.05
Sniper opening kills per round,0.06,0.09,0.04
Support rounds,19.3%,19.1%,19.6%
Time alive per round,1m 13s,1m 12s,1m 13s
Time opponent flashed per round,2.26,2.65,1.97
Trade kills per round,0.16,0.14,0.19
Trade kills percentage,18.9%,15.2%,23.1%
Traded deaths per round,0.11,0.10,0.12
Traded deaths percentage,18.7%,17.7%,19.5%
Utility damage per round,4.05,4.61,3.49
Utility kills per 100 rounds,1.10,1.06,1.13
Win% after opening kill,76.0%,73.4%,79.1%
