metric,Both,CT,T
1on1 win percentage,64.9%,57.4%,76.7%
Assisted kills percentage,17.1%,17.7%,16.5%
Assists per round,0.11,0.11,0.11
Attacks per round,2.64,2.68,2.59
Clutch points per round,0.02,0.02,0.03
Damage per kill,109,105,113
Damage per round,75.7,79.7,71.6
Damage per round win,101.2,103.1,99.0
Flash assists per round,0.02,0.02,0.03
Flashes thrown per round,0.69,0.60,0.81
Kills per round,0.70,0.76,0.63
Kills per round win,0.99,1.02,0.96
Last alive percentage,11.9%,11.4%,12.5%
Opening attempts,22.9%,24.2%,21.6%
Opening deaths per round,0.11,0.10,0.13
Opening deaths traded percentage,22.2%,17.3%,26.5%
Opening kills per round,0.11,0.14,0.09
Opening success,49.8%,56.8%,41.7%
Pistol round rating,1.08,1.13,1.04
Rating 2.0,1.06,1.12,1.01
Rounds with a kill,47.1%,50.0%,44.1%
Rounds with a multi-kill,17.0%,19.1%,14.8%
Rounds with sniper kills percentage,11.8%,17.6%,5.6%
Saved by teammate per round,0.08,0.06,0.10
Saved teammate per round,0.08,0.05,0.10
Saves per round loss,6.8%,12.3%,1.8%
Sniper kills per round,0.16,0.23,0.08
Sniper kills percentage,22.5%,30.6%,12.4%
Sniper multi-kill rounds,0.04,0.06,0.02
Sniper opening kills per round,0.04,0.06,0.01
Support rounds,15.9%,19.0%,12.7%
Time alive per round,1m 2s,1m 3s,1m 1s
Time opponent flashed per round,1.69,1.61,1.75
Trade kills per round,0.13,0.10,0.15
Trade kills percentage,18.0%,13.1%,24.1%
Traded deaths per round,0.12,0.09,0.15
Traded deaths percentage,18.5%,15.8%,20.7%
Utility damage per round,3.90,4.63,3.13
Utility kills per 100 rounds,0.85,0.92,0.78
Win% after opening kill,74.5%,73.5%,76.0%
