order,name,url
63,shuadapai,https://www.hltv.org/stats/players/11576/shuadapai?startDate=2017-01-01&endDate=2017-12-31
64,k1tkat,https://www.hltv.org/stats/players/10594/k1tkat?startDate=2017-01-01&endDate=2017-12-31
65,EliGE,https://www.hltv.org/stats/players/8738/elige?startDate=2017-01-01&endDate=2017-12-31
66,cadiaN,https://www.hltv.org/stats/players/7964/cadian?startDate=2017-01-01&endDate=2017-12-31
67,NAF,https://www.hltv.org/stats/players/8520/naf?startDate=2017-01-01&endDate=2017-12-31
68,Qikert,https://www.hltv.org/stats/players/13239/qikert?startDate=2017-01-01&endDate=2017-12-31
69,fnx,https://www.hltv.org/stats/players/557/fnx?startDate=2017-01-01&endDate=2017-12-31
70,INS,https://www.hltv.org/stats/players/11140/ins?startDate=2017-01-01&endDate=2017-12-31
71,Ramz1kBO$$,https://www.hltv.org/stats/players/11842/ramz1kbo?startDate=2017-01-01&endDate=2017-12-31
72,sterling,https://www.hltv.org/stats/players/12591/sterling?startDate=2017-01-01&endDate=2017-12-31
73,gas,https://www.hltv.org/stats/players/10722/gas?startDate=2017-01-01&endDate=2017-12-31
74,Brollan,https://www.hltv.org/stats/players/13666/brollan?startDate=2017-01-01&endDate=2017-12-31
75,dapr,https://www.hltv.org/stats/players/11586/dapr?startDate=2017-01-01&endDate=2017-12-31
76,paz,https://www.hltv.org/stats/players/9353/paz?startDate=2017-01-01&endDate=2017-12-31
77,v1c7oR,https://www.hltv.org/stats/players/7834/v1c7or?startDate=2017-01-01&endDate=2017-12-31
78,ayaya,https://www.hltv.org/stats/players/10186/ayaya?startDate=2017-01-01&endDate=2017-12-31
79,roseau,https://www.hltv.org/stats/players/8951/roseau?startDate=2017-01-01&endDate=2017-12-31
80,splashske,https://www.hltv.org/stats/players/8943/splashske?startDate=2017-01-01&endDate=2017-12-31
81,Stewie2K,https://www.hltv.org/stats/players/8797/stewie2k?startDate=2017-01-01&endDate=2017-12-31
82,mir,https://www.hltv.org/stats/players/8789/mir?startDate=2017-01-01&endDate=2017-12-31
83,vice,https://www.hltv.org/stats/players/9260/vice?startDate=2017-01-01&endDate=2017-12-31
84,yay,https://www.hltv.org/stats/players/8513/yay?startDate=2017-01-01&endDate=2017-12-31
85,Savage,https://www.hltv.org/stats/players/180/savage?startDate=2017-01-01&endDate=2017-12-31
86,Machinegun,https://www.hltv.org/stats/players/9247/machinegun?startDate=2017-01-01&endDate=2017-12-31
87,erkaSt,https://www.hltv.org/stats/players/11141/erkast?startDate=2017-01-01&endDate=2017-12-31
88,RIKO,https://www.hltv.org/stats/players/11737/riko?startDate=2017-01-01&endDate=2017-12-31
89,BIT,https://www.hltv.org/stats/players/555/bit?startDate=2017-01-01&endDate=2017-12-31
90,aumaN,https://www.hltv.org/stats/players/8604/auman?startDate=2017-01-01&endDate=2017-12-31
91,HSK,https://www.hltv.org/stats/players/9174/hsk?startDate=2017-01-01&endDate=2017-12-31
92,LETN1,https://www.hltv.org/stats/players/4216/letn1?startDate=2017-01-01&endDate=2017-12-31
93,suNny,https://www.hltv.org/stats/players/5479/sunny?startDate=2017-01-01&endDate=2017-12-31
94,JUGi,https://www.hltv.org/stats/players/8783/jugi?startDate=2017-01-01&endDate=2017-12-31
95,kennyS,https://www.hltv.org/stats/players/7167/kennys?startDate=2017-01-01&endDate=2017-12-31
96,Hatz,https://www.hltv.org/stats/players/11162/hatz?startDate=2017-01-01&endDate=2017-12-31
97,MarKE,https://www.hltv.org/stats/players/10892/marke?startDate=2017-01-01&endDate=2017-12-31
98,somebody,https://www.hltv.org/stats/players/8605/somebody?startDate=2017-01-01&endDate=2017-12-31
99,Brehze,https://www.hltv.org/stats/players/9136/brehze?startDate=2017-01-01&endDate=2017-12-31
100,Ryxxo,https://www.hltv.org/stats/players/8848/ryxxo?startDate=2017-01-01&endDate=2017-12-31
101,downie,https://www.hltv.org/stats/players/3871/downie?startDate=2017-01-01&endDate=2017-12-31
102,SandeN,https://www.hltv.org/stats/players/8784/sanden?startDate=2017-01-01&endDate=2017-12-31
103,device,https://www.hltv.org/stats/players/7592/device?startDate=2017-01-01&endDate=2017-12-31
