metric,Both,CT,T
1on1 win percentage,57.4%,55.2%,61.1%
Assisted kills percentage,17.4%,19.7%,14.9%
Assists per round,0.14,0.15,0.12
Attacks per round,2.54,2.62,2.28
Clutch points per round,0.02,0.02,0.03
Damage per kill,104,102,106
Damage per round,78.9,81.5,76.3
Damage per round win,98.1,100.0,96.2
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.72,0.65,0.81
Kills per round,0.73,0.77,0.70
Kills per round win,1.01,1.05,0.97
Last alive percentage,9.7%,8.8%,10.6%
Opening attempts,23.9%,22.1%,25.9%
Opening deaths per round,0.12,0.10,0.15
Opening deaths traded percentage,16.5%,11.1%,20.2%
Opening kills per round,0.12,0.12,0.11
Opening success,49.0%,55.7%,43.1%
Pistol round rating,1.16,1.39,0.92
Rating 1.0,1.08,1.15,1.00
Rounds with a kill,48.2%,49.0%,47.4%
Rounds with a multi-kill,18.6%,20.3%,16.8%
Rounds with sniper kills percentage,11.2%,13.7%,8.7%
Saved by teammate per round,0.09,0.07,0.10
Saved teammate per round,0.08,0.06,0.09
Saves per round loss,4.1%,6.3%,1.8%
Sniper kills per round,0.14,0.17,0.11
Sniper kills percentage,19.5%,23.2%,16.2%
Sniper multi-kill rounds,0.03,0.05,0.02
Sniper opening kills per round,0.03,0.05,0.02
Support rounds,15.6%,16.6%,13.1%
Time alive per round,1m 1s,1m 1s,1m 1s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.12,0.11,0.12
Trade kills percentage,15.9%,14.6%,17.5%
Traded deaths per round,0.12,0.10,0.13
Traded deaths percentage,17.6%,15.7%,19.4%
Utility damage per round,3.93,4.89,2.95
Utility kills per 100 rounds,0.77,0.79,0.60
Win% after opening kill,77.3%,76.0%,78.7%
