metric,Both,CT,T
1on1 win percentage,71.6%,63.6%,87.0%
Assisted kills percentage,17.0%,18.9%,14.8%
Assists per round,0.11,0.12,0.10
Attacks per round,2.38,2.38,2.37
Clutch points per round,0.04,0.03,0.05
Damage per kill,104,101,107
Damage per round,84.8,88.8,80.8
Damage per round win,110.0,114.9,104.6
Flash assists per round,0.06,0.05,0.07
Flashes thrown per round,0.70,0.59,0.80
Kills per round,0.82,0.88,0.75
Kills per round win,1.13,1.21,1.04
Last alive percentage,12.3%,11.2%,13.5%
Opening attempts,23.7%,26.4%,21.0%
Opening deaths per round,0.09,0.09,0.10
Opening deaths traded percentage,25.4%,18.6%,31.7%
Opening kills per round,0.14,0.18,0.11
Opening success,61.1%,66.6%,54.2%
Pistol round rating,1.47,1.24,1.69
Rating 2.0,1.29,1.34,1.25
Rounds with a kill,52.4%,55.9%,49.0%
Rounds with a multi-kill,20.9%,23.3%,18.5%
Rounds with sniper kills percentage,22.4%,30.2%,14.7%
Saved by teammate per round,0.09,0.06,0.12
Saved teammate per round,0.12,0.09,0.15
Saves per round loss,7.9%,14.6%,2.1%
Sniper kills per round,0.32,0.44,0.20
Sniper kills percentage,38.5%,49.4%,25.9%
Sniper multi-kill rounds,0.08,0.11,0.05
Sniper opening kills per round,0.07,0.11,0.04
Support rounds,16.5%,17.7%,15.2%
Time alive per round,1m 10s,1m 9s,1m 11s
Time opponent flashed per round,2.37,2.66,2.16
Trade kills per round,0.17,0.14,0.19
Trade kills percentage,20.2%,15.9%,25.1%
Traded deaths per round,0.12,0.11,0.14
Traded deaths percentage,20.6%,19.4%,21.7%
Utility damage per round,3.06,3.91,2.21
Utility kills per 100 rounds,0.62,0.84,0.40
Win% after opening kill,72.8%,74.2%,70.5%
