metric,Both,CT,T
1on1 win percentage,61.5%,58.3%,66.7%
Assisted kills percentage,13.8%,14.7%,12.5%
Assists per round,0.14,0.20,0.09
Attacks per round,3.03,3.59,2.46
Clutch points per round,0.02,0.01,0.02
Damage per kill,114,115,112
Damage per round,87.2,98.6,75.4
Damage per round win,111.8,119.8,101.5
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.74,0.61,0.91
Kills per round,0.77,0.86,0.67
Kills per round win,1.04,1.10,0.95
Last alive percentage,10.4%,7.2%,13.6%
Opening attempts,26.4%,27.4%,25.3%
Opening deaths per round,0.11,0.10,0.13
Opening deaths traded percentage,19.5%,20.3%,18.8%
Opening kills per round,0.15,0.17,0.13
Opening success,56.7%,63.0%,49.6%
Pistol round rating,1.17,1.29,1.06
Rating 2.0,1.22,1.33,1.10
Rounds with a kill,50.2%,54.5%,45.8%
Rounds with a multi-kill,19.5%,22.4%,16.5%
Rounds with sniper kills percentage,1.1%,1.2%,1.0%
Saved by teammate per round,0.08,0.07,0.08
Saved teammate per round,0.08,0.08,0.09
Saves per round loss,7.3%,12.1%,3.5%
Sniper kills per round,0.02,0.02,0.01
Sniper kills percentage,2.0%,2.1%,2.0%
Sniper multi-kill rounds,0.005,0.005,0.004
Sniper opening kills per round,0.004,0.006,0.001
Support rounds,16.9%,20.1%,13.7%
Time alive per round,1m 10s,1m 8s,1m 11s
Time opponent flashed per round,2.19,2.63,1.90
Trade kills per round,0.12,0.11,0.12
Trade kills percentage,15.1%,13.3%,17.4%
Traded deaths per round,0.12,0.12,0.12
Traded deaths percentage,18.1%,19.5%,16.9%
Utility damage per round,6.64,9.99,3.19
Utility kills per 100 rounds,0.88,1.41,0.33
Win% after opening kill,76.8%,77.4%,76.0%
