metric,Both,CT,T
1on1 win percentage,58.9%,52.3%,69.0%
Assisted kills percentage,18.3%,18.5%,18.0%
Assists per round,0.08,0.09,0.08
Attacks per round,1.73,1.76,1.71
Clutch points per round,0.03,0.02,0.03
Damage per kill,100,99,102
Damage per round,71.1,75.4,67.0
Damage per round win,93.2,95.7,90.5
Flash assists per round,0.06,0.04,0.08
Flashes thrown per round,0.64,0.45,0.81
Kills per round,0.71,0.76,0.66
Kills per round win,0.97,1.02,0.91
Last alive percentage,13.8%,11.2%,16.3%
Opening attempts,20.1%,21.3%,18.9%
Opening deaths per round,0.09,0.08,0.09
Opening deaths traded percentage,21.7%,18.5%,24.5%
Opening kills per round,0.11,0.13,0.10
Opening success,56.7%,60.9%,52.1%
Pistol round rating,1.01,1.02,1.00
Rating 2.0,1.09,1.12,1.05
Rounds with a kill,47.9%,51.2%,44.8%
Rounds with a multi-kill,17.3%,18.7%,15.9%
Rounds with sniper kills percentage,33.8%,40.4%,27.3%
Saved by teammate per round,0.08,0.06,0.10
Saved teammate per round,0.09,0.07,0.11
Saves per round loss,9.0%,14.5%,4.0%
Sniper kills per round,0.44,0.51,0.36
Sniper kills percentage,61.4%,67.5%,54.5%
Sniper multi-kill rounds,0.12,0.15,0.09
Sniper opening kills per round,0.10,0.13,0.08
Support rounds,15.8%,18.1%,13.6%
Time alive per round,1m 8s,1m 9s,1m 8s
Time opponent flashed per round,2.32,2.60,2.16
Trade kills per round,0.13,0.12,0.14
Trade kills percentage,18.5%,15.6%,21.8%
Traded deaths per round,0.11,0.10,0.13
Traded deaths percentage,17.7%,16.8%,18.5%
Utility damage per round,2.61,3.46,1.78
Utility kills per 100 rounds,0.56,0.70,0.42
Win% after opening kill,77.6%,78.3%,76.8%
