metric,Both,CT,T
1on1 win percentage,67.6%,60.0%,80.8%
Assisted kills percentage,20.6%,21.6%,19.7%
Assists per round,0.11,0.12,0.09
Attacks per round,2.56,2.89,2.24
Clutch points per round,0.02,0.02,0.03
Damage per kill,103,103,103
Damage per round,75.1,79.5,70.9
Damage per round win,96.4,101.2,91.6
Flash assists per round,0.04,0.03,0.04
Flashes thrown per round,0.70,0.50,0.85
Kills per round,0.73,0.77,0.69
Kills per round win,0.99,1.06,0.93
Last alive percentage,10.7%,9.3%,11.9%
Opening attempts,16.5%,15.9%,17.0%
Opening deaths per round,0.08,0.06,0.10
Opening deaths traded percentage,28.3%,23.2%,31.1%
Opening kills per round,0.08,0.10,0.07
Opening success,49.4%,61.4%,38.8%
Pistol round rating,1.27,1.21,1.33
Rating 2.0,1.12,1.15,1.08
Rounds with a kill,47.8%,49.9%,45.8%
Rounds with a multi-kill,17.9%,19.0%,16.8%
Rounds with sniper kills percentage,2.3%,2.7%,2.0%
Saved by teammate per round,0.10,0.08,0.13
Saved teammate per round,0.13,0.09,0.16
Saves per round loss,8.6%,16.7%,1.3%
Sniper kills per round,0.03,0.04,0.02
Sniper kills percentage,4.3%,4.9%,3.6%
Sniper multi-kill rounds,0.008,0.01,0.005
Sniper opening kills per round,0.006,0.008,0.004
Support rounds,18.8%,23.0%,14.8%
Time alive per round,1m 8s,1m 10s,1m 7s
Time opponent flashed per round,2.13,2.33,2.02
Trade kills per round,0.17,0.14,0.20
Trade kills percentage,23.2%,17.8%,28.8%
Traded deaths per round,0.14,0.13,0.16
Traded deaths percentage,22.5%,22.1%,22.8%
Utility damage per round,3.40,4.15,2.69
Utility kills per 100 rounds,0.78,0.64,0.91
Win% after opening kill,72.2%,71.3%,73.4%
