metric,Both,CT,T
1on1 win percentage,59.6%,48.5%,75.0%
Assisted kills percentage,17.9%,19.1%,16.3%
Assists per round,0.10,0.11,0.10
Attacks per round,2.24,2.26,2.22
Clutch points per round,0.02,0.02,0.03
Damage per kill,103,99,107
Damage per round,78.4,83.0,73.6
Damage per round win,102.2,104.9,99.1
Flash assists per round,0.02,0.02,0.02
Flashes thrown per round,0.64,0.46,0.84
Kills per round,0.76,0.84,0.69
Kills per round win,1.04,1.10,0.97
Last alive percentage,11.9%,10.5%,13.3%
Opening attempts,23.8%,24.7%,22.9%
Opening deaths per round,0.10,0.09,0.11
Opening deaths traded percentage,18.4%,13.9%,22.3%
Opening kills per round,0.13,0.15,0.11
Opening success,56.1%,61.7%,50.0%
Pistol round rating,1.12,1.10,1.13
Rating 2.0,1.16,1.21,1.10
Rounds with a kill,50.8%,55.0%,46.4%
Rounds with a multi-kill,19.7%,21.8%,17.4%
Rounds with sniper kills percentage,25.2%,32.3%,17.9%
Saved by teammate per round,0.08,0.06,0.09
Saved teammate per round,0.09,0.07,0.10
Saves per round loss,7.3%,12.8%,2.3%
Sniper kills per round,0.33,0.44,0.22
Sniper kills percentage,43.6%,52.5%,32.5%
Sniper multi-kill rounds,0.09,0.12,0.05
Sniper opening kills per round,0.08,0.12,0.05
Support rounds,13.4%,14.5%,12.3%
Time alive per round,1m 7s,1m 6s,1m 7s
Time opponent flashed per round,1.62,1.75,1.54
Trade kills per round,0.13,0.12,0.15
Trade kills percentage,17.2%,13.9%,21.2%
Traded deaths per round,0.11,0.10,0.13
Traded deaths percentage,17.5%,16.7%,18.2%
Utility damage per round,3.13,3.75,2.49
Utility kills per 100 rounds,0.71,0.88,0.53
Win% after opening kill,78.5%,81.9%,73.7%
