order,name,url
1,coldzera,https://www.hltv.org/stats/players/9216/coldzera?startDate=2016-01-01&endDate=2016-12-31
2,FalleN,https://www.hltv.org/stats/players/2023/fallen?startDate=2016-01-01&endDate=2016-12-31
3,device,https://www.hltv.org/stats/players/7592/device?startDate=2016-01-01&endDate=2016-12-31
4,s1mple,https://www.hltv.org/stats/players/7998/s1mple?startDate=2016-01-01&endDate=2016-12-31
5,Snax,https://www.hltv.org/stats/players/2553/snax?startDate=2016-01-01&endDate=2016-12-31
6,shox,https://www.hltv.org/stats/players/1225/shox?startDate=2016-01-01&endDate=2016-12-31
7,f0rest,https://www.hltv.org/stats/players/29/f0rest?startDate=2016-01-01&endDate=2016-12-31
8,olofmeister,https://www.hltv.org/stats/players/885/olofmeister?startDate=2016-01-01&endDate=2016-12-31
9,ScreaM,https://www.hltv.org/stats/players/7390/scream?startDate=2016-01-01&endDate=2016-12-31
10,flusha,https://www.hltv.org/stats/players/3055/flusha?startDate=2016-01-01&endDate=2016-12-31
11,NiKo,https://www.hltv.org/stats/players/3741/niko?startDate=2016-01-01&endDate=2016-12-31
12,flamie,https://www.hltv.org/stats/players/7594/flamie?startDate=2016-01-01&endDate=2016-12-31
13,kennyS,https://www.hltv.org/stats/players/7167/kennys?startDate=2016-01-01&endDate=2016-12-31
14,Magisk,https://www.hltv.org/stats/players/9032/magisk?startDate=2016-01-01&endDate=2016-12-31
15,fer,https://www.hltv.org/stats/players/8564/fer?startDate=2016-01-01&endDate=2016-12-31
16,Kjaerbye,https://www.hltv.org/stats/players/8394/kjaerbye?startDate=2016-01-01&endDate=2016-12-31
17,GuardiaN,https://www.hltv.org/stats/players/2757/guardian?startDate=2016-01-01&endDate=2016-12-31
18,GeT_RiGhT,https://www.hltv.org/stats/players/39/get-right?startDate=2016-01-01&endDate=2016-12-31
19,fnx,https://www.hltv.org/stats/players/557/fnx?startDate=2016-01-01&endDate=2016-12-31
20,dennis,https://www.hltv.org/stats/players/1146/dennis?startDate=2016-01-01&endDate=2016-12-31
