metric,Both,CT,T
1on1 win percentage,57.1%,51.1%,66.7%
Assisted kills percentage,17.4%,18.3%,16.4%
Assists per round,0.11,0.12,0.11
Attacks per round,2.65,2.93,2.38
Clutch points per round,0.03,0.02,0.04
Damage per kill,106,106,106
Damage per round,80.0,83.7,76.3
Damage per round win,101.2,103.6,98.7
Flash assists per round,0.02,0.02,0.02
Flashes thrown per round,0.33,0.18,0.47
Kills per round,0.75,0.79,0.72
Kills per round win,1.00,1.03,0.97
Last alive percentage,14.1%,11.3%,16.9%
Opening attempts,18.3%,20.7%,15.9%
Opening deaths per round,0.08,0.08,0.08
Opening deaths traded percentage,18.1%,19.5%,16.7%
Opening kills per round,0.10,0.12,0.08
Opening success,55.6%,59.9%,50.1%
Pistol round rating,1.12,1.16,1.08
Rating 2.0,1.17,1.18,1.16
Rounds with a kill,50.4%,52.5%,48.5%
Rounds with a multi-kill,18.9%,19.8%,18.0%
Rounds with sniper kills percentage,1.8%,3.3%,0.3%
Saved by teammate per round,0.06,0.05,0.07
Saved teammate per round,0.10,0.08,0.11
Saves per round loss,10.4%,16.5%,5.1%
Sniper kills per round,0.02,0.04,0.00
Sniper kills percentage,2.7%,4.8%,0.4%
Sniper multi-kill rounds,0.004,0.007,0.0004
Sniper opening kills per round,0.005,0.01,0.0004
Support rounds,19.3%,21.1%,17.6%
Time alive per round,1m 11s,1m 9s,1m 14s
Time opponent flashed per round,1.91,2.18,1.81
Trade kills per round,0.14,0.12,0.16
Trade kills percentage,18.6%,15.4%,22.0%
Traded deaths per round,0.09,0.08,0.09
Traded deaths percentage,14.1%,14.7%,13.6%
Utility damage per round,3.37,3.79,2.97
Utility kills per 100 rounds,0.38,0.49,0.26
Win% after opening kill,74.2%,74.6%,73.5%
