metric,Both,CT,T
1on1 win percentage,71.1%,71.4%,70.6%
Assisted kills percentage,19.0%,20.1%,17.7%
Assists per round,0.16,0.18,0.13
Attacks per round,3.05,3.51,2.62
Clutch points per round,0.01,0.01,0.01
Damage per kill,112,113,112
Damage per round,79.5,84.9,74.5
Damage per round win,105.2,110.2,100.4
Flash assists per round,0.04,0.03,0.05
Flashes thrown per round,0.58,0.33,0.79
Kills per round,0.71,0.75,0.67
Kills per round win,1.00,1.06,0.95
Last alive percentage,6.4%,5.6%,7.1%
Opening attempts,24.3%,25.6%,23.1%
Opening deaths per round,0.13,0.12,0.14
Opening deaths traded percentage,24.5%,19.8%,28.3%
Opening kills per round,0.12,0.14,0.09
Opening success,47.5%,53.9%,40.8%
Pistol round rating,1.04,1.02,1.06
Rating 2.0,1.09,1.11,1.07
Rounds with a kill,47.3%,49.8%,44.8%
Rounds with a multi-kill,17.7%,19.4%,16.1%
Rounds with sniper kills percentage,0.5%,0.5%,0.4%
Saved by teammate per round,0.10,0.08,0.12
Saved teammate per round,0.11,0.09,0.13
Saves per round loss,5.2%,10.1%,0.8%
Sniper kills per round,0.00,0.01,0.00
Sniper kills percentage,0.7%,0.8%,0.6%
Sniper multi-kill rounds,0.0005,0.0004,0.0007
Sniper opening kills per round,0.001,0.001,0.0007
Support rounds,16.1%,18.8%,13.6%
Time alive per round,1m 3s,1m 3s,1m 3s
Time opponent flashed per round,2.11,2.36,2.01
Trade kills per round,0.15,0.13,0.16
Trade kills percentage,20.7%,17.2%,24.4%
Traded deaths per round,0.15,0.13,0.17
Traded deaths percentage,21.7%,19.4%,23.6%
Utility damage per round,4.14,5.61,2.75
Utility kills per 100 rounds,0.67,0.80,0.55
Win% after opening kill,72.4%,69.6%,76.4%
