metric,Both,CT,T
1on1 win percentage,64.8%,58.7%,71.4%
Assisted kills percentage,19.6%,18.8%,20.6%
Assists per round,0.09,0.10,0.09
Attacks per round,1.80,1.84,1.75
Clutch points per round,0.02,0.02,0.03
Damage per kill,98,97,99
Damage per round,75.3,80.8,69.7
Damage per round win,97.7,104.2,90.5
Flash assists per round,0.03,0.02,0.04
Flashes thrown per round,0.50,0.39,0.62
Kills per round,0.77,0.83,0.70
Kills per round win,1.03,1.10,0.94
Last alive percentage,12.5%,10.4%,14.7%
Opening attempts,18.0%,21.9%,14.0%
Opening deaths per round,0.07,0.07,0.06
Opening deaths traded percentage,25.4%,18.6%,33.9%
Opening kills per round,0.11,0.14,0.08
Opening success,61.8%,65.8%,55.5%
Pistol round rating,1.02,1.07,0.96
Rating 2.0,1.16,1.19,1.13
Rounds with a kill,51.1%,53.5%,48.6%
Rounds with a multi-kill,19.4%,21.9%,16.9%
Rounds with sniper kills percentage,31.6%,36.7%,26.4%
Saved by teammate per round,0.10,0.08,0.11
Saved teammate per round,0.13,0.11,0.15
Saves per round loss,5.2%,8.8%,1.8%
Sniper kills per round,0.42,0.51,0.34
Sniper kills percentage,55.3%,61.0%,48.5%
Sniper multi-kill rounds,0.11,0.14,0.08
Sniper opening kills per round,0.09,0.12,0.05
Support rounds,15.1%,15.6%,14.7%
Time alive per round,1m 7s,1m 6s,1m 7s
Time opponent flashed per round,1.79,2.00,1.67
Trade kills per round,0.18,0.14,0.21
Trade kills percentage,22.9%,17.4%,29.5%
Traded deaths per round,0.12,0.12,0.12
Traded deaths percentage,19.7%,20.0%,19.4%
Utility damage per round,2.99,3.15,2.83
Utility kills per 100 rounds,1.26,1.23,1.30
Win% after opening kill,77.7%,77.0%,78.9%
