metric,Both,CT,T
1on1 win percentage,69.2%,63.9%,75.9%
Assisted kills percentage,24.2%,24.4%,24.0%
Assists per round,0.14,0.14,0.13
Attacks per round,2.11,2.07,2.15
Clutch points per round,0.04,0.03,0.04
Damage per kill,101,100,103
Damage per round,82.7,86.3,79.0
Damage per round win,105.2,113.6,96.7
Flash assists per round,0.08,0.07,0.09
Flashes thrown per round,0.71,0.55,0.89
Kills per round,0.82,0.86,0.77
Kills per round win,1.08,1.18,0.98
Last alive percentage,12.8%,10.1%,15.6%
Opening attempts,20.9%,23.6%,18.2%
Opening deaths per round,0.07,0.07,0.08
Opening deaths traded percentage,26.1%,20.0%,31.8%
Opening kills per round,0.13,0.16,0.10
Opening success,64.2%,69.8%,56.9%
Pistol round rating,1.35,1.20,1.51
Rating 3.0,1.29,1.29,1.29
Rounds with a kill,52.7%,54.6%,50.7%
Rounds with a multi-kill,21.2%,22.7%,19.7%
Rounds with sniper kills percentage,27.0%,33.2%,20.8%
Saved by teammate per round,0.09,0.07,0.11
Saved teammate per round,0.13,0.10,0.16
Saves per round loss,8.6%,13.4%,3.7%
Sniper kills per round,0.37,0.46,0.27
Sniper kills percentage,45.2%,53.5%,35.6%
Sniper multi-kill rounds,0.10,0.13,0.07
Sniper opening kills per round,0.09,0.11,0.06
Support rounds,19.2%,19.2%,19.3%
Time alive per round,1m 16s,1m 14s,1m 17s
Time opponent flashed per round,2.33,2.67,2.13
Trade kills per round,0.17,0.15,0.19
Trade kills percentage,21.0%,17.4%,25.2%
Traded deaths per round,0.12,0.11,0.13
Traded deaths percentage,19.6%,18.8%,20.3%
Utility damage per round,2.97,3.40,2.53
Utility kills per 100 rounds,0.59,0.66,0.52
Win% after opening kill,76.2%,74.9%,78.4%
