metric,variant,value,unit,grade
Round swing,single,+3.21,%,Good
DPR,traditional,0.59,,Good
DPR,ecoAdjusted,0.64,,Good
KAST,traditional,76.7,%,Good
KAST,ecoAdjusted,75.3,%,Good
Multi-kill,traditional,21.2,%,Good
MK rating,ecoAdjusted,1.23,,Good
ADR,traditional,82.7,,Good
ADR,ecoAdjusted,80.4,,Good
KPR,traditional,0.82,,Good
KPR,ecoAdjusted,0.77,,Good
