metric,Both,CT,T
1on1 win percentage,54.3%,50.0%,58.3%
Assisted kills percentage,18.1%,18.9%,17.2%
Assists per round,0.14,0.15,0.13
Attacks per round,3.03,3.09,2.70
Clutch points per round,0.03,0.02,0.04
Damage per kill,104,104,105
Damage per round,83.5,85.9,81.0
Damage per round win,100.2,98.2,102.5
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.42,0.34,0.53
Kills per round,0.77,0.79,0.74
Kills per round win,1.04,1.03,1.05
Last alive percentage,11.7%,11.5%,12.0%
Opening attempts,17.9%,18.4%,17.3%
Opening deaths per round,0.08,0.08,0.09
Opening deaths traded percentage,23.5%,17.2%,29.1%
Opening kills per round,0.10,0.11,0.08
Opening success,54.0%,59.1%,48.3%
Pistol round rating,1.24,1.26,1.22
Rating 1.0,1.14,1.21,1.08
Rounds with a kill,50.3%,51.9%,48.6%
Rounds with a multi-kill,19.6%,19.9%,19.2%
Rounds with sniper kills percentage,0.8%,1.1%,0.5%
Saved by teammate per round,0.09,0.06,0.11
Saved teammate per round,0.11,0.07,0.13
Saves per round loss,6.9%,12.5%,1.8%
Sniper kills per round,0.01,0.01,0.00
Sniper kills percentage,1.3%,1.8%,0.7%
Sniper multi-kill rounds,0.003,0.004,0.001
Sniper opening kills per round,0.001,0.002,0.0
Support rounds,17.5%,20.1%,13.0%
Time alive per round,0m 54s,0m 47s,1m 1s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.15,0.11,0.18
Trade kills percentage,19.1%,14.5%,24.1%
Traded deaths per round,0.12,0.10,0.14
Traded deaths percentage,18.6%,16.9%,20.1%
Utility damage per round,4.40,5.20,3.58
Utility kills per 100 rounds,0.83,0.78,0.81
Win% after opening kill,72.6%,70.0%,76.1%
