metric,Both,CT,T
1on1 win percentage,72.2%,61.1%,83.3%
Assisted kills percentage,27.3%,27.7%,27.0%
Assists per round,0.18,0.20,0.15
Attacks per round,2.73,2.97,2.50
Clutch points per round,0.03,0.01,0.04
Damage per kill,106,107,105
Damage per round,78.2,81.6,74.9
Damage per round win,99.2,106.3,92.5
Flash assists per round,0.02,0.02,0.02
Flashes thrown per round,0.30,0.24,0.36
Kills per round,0.74,0.76,0.71
Kills per round win,0.96,1.01,0.90
Last alive percentage,11.8%,8.6%,15.1%
Opening attempts,17.7%,21.6%,13.7%
Opening deaths per round,0.07,0.08,0.07
Opening deaths traded percentage,21.8%,23.0%,20.2%
Opening kills per round,0.10,0.13,0.07
Opening success,57.5%,61.0%,52.1%
Pistol round rating,1.02,1.04,1.00
Rating 3.0,1.12,1.10,1.15
Rounds with a kill,49.7%,51.2%,48.2%
Rounds with a multi-kill,17.9%,18.4%,17.3%
Rounds with sniper kills percentage,0.4%,0.6%,0.3%
Saved by teammate per round,0.10,0.10,0.10
Saved teammate per round,0.12,0.09,0.14
Saves per round loss,10.4%,14.2%,6.3%
Sniper kills per round,0.01,0.01,0.00
Sniper kills percentage,0.8%,1.2%,0.4%
Sniper multi-kill rounds,0.001,0.003,0.0
Sniper opening kills per round,0.0006,0.0006,0.0006
Support rounds,21.0%,22.1%,19.9%
Time alive per round,1m 12s,1m 8s,1m 15s
Time opponent flashed per round,2.06,2.21,1.96
Trade kills per round,0.16,0.13,0.18
Trade kills percentage,21.1%,17.0%,25.5%
Traded deaths per round,0.13,0.15,0.11
Traded deaths percentage,20.6%,23.0%,18.1%
Utility damage per round,3.47,3.47,3.48
Utility kills per 100 rounds,0.85,0.75,0.94
Win% after opening kill,75.3%,72.0%,81.4%
