metric,Both,CT,T
1on1 win percentage,60.0%,58.1%,63.0%
Assisted kills percentage,15.5%,16.2%,14.7%
Assists per round,0.15,0.17,0.14
Attacks per round,3.21,3.54,2.86
Clutch points per round,0.02,0.02,0.02
Damage per kill,111,111,111
Damage per round,87.4,91.1,83.6
Damage per round win,114.2,117.6,110.7
Flash assists per round,0.02,0.02,0.02
Flashes thrown per round,0.39,0.36,0.44
Kills per round,0.79,0.82,0.76
Kills per round win,1.09,1.12,1.05
Last alive percentage,8.2%,9.4%,7.0%
Opening attempts,26.1%,25.7%,26.6%
Opening deaths per round,0.12,0.11,0.13
Opening deaths traded percentage,23.5%,17.0%,29.1%
Opening kills per round,0.14,0.15,0.14
Opening success,54.8%,57.9%,51.9%
Pistol round rating,1.29,1.29,1.29
Rating 2.0,1.23,1.22,1.23
Rounds with a kill,50.8%,53.0%,48.6%
Rounds with a multi-kill,20.3%,21.2%,19.5%
Rounds with sniper kills percentage,0.5%,0.6%,0.5%
Saved by teammate per round,0.09,0.06,0.11
Saved teammate per round,0.08,0.07,0.09
Saves per round loss,6.9%,11.5%,2.1%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,0.8%,0.9%,0.8%
Sniper multi-kill rounds,0.0007,0.0009,0.0006
Sniper opening kills per round,0.0004,0.0006,0.0003
Support rounds,15.1%,18.0%,12.2%
Time alive per round,1m 4s,1m 5s,1m 4s
Time opponent flashed per round,1.79,2.22,1.44
Trade kills per round,0.12,0.11,0.13
Trade kills percentage,14.8%,13.3%,16.6%
Traded deaths per round,0.14,0.11,0.17
Traded deaths percentage,21.1%,17.9%,24.0%
Utility damage per round,4.63,5.57,3.66
Utility kills per 100 rounds,1.07,1.40,0.72
Win% after opening kill,82.0%,81.3%,82.8%
