metric,Both,CT,T
1on1 win percentage,63.0%,48.0%,81.0%
Assisted kills percentage,20.3%,21.2%,19.3%
Assists per round,0.15,0.17,0.13
Attacks per round,2.95,3.28,2.64
Clutch points per round,0.02,0.01,0.02
Damage per kill,111,110,114
Damage per round,76.5,82.9,70.4
Damage per round win,94.4,97.7,90.8
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.58,0.35,0.77
Kills per round,0.69,0.76,0.62
Kills per round win,0.92,0.97,0.86
Last alive percentage,7.8%,6.3%,9.1%
Opening attempts,20.4%,18.2%,22.5%
Opening deaths per round,0.10,0.08,0.13
Opening deaths traded percentage,22.9%,16.0%,26.8%
Opening kills per round,0.10,0.11,0.10
Opening success,50.1%,58.0%,44.1%
Pistol round rating,1.19,1.27,1.10
Rating 2.0,1.10,1.16,1.04
Rounds with a kill,46.5%,49.9%,43.3%
Rounds with a multi-kill,16.9%,19.3%,14.7%
Rounds with sniper kills percentage,1.7%,3.1%,0.3%
Saved by teammate per round,0.09,0.07,0.11
Saved teammate per round,0.09,0.07,0.12
Saves per round loss,7.3%,13.8%,2.1%
Sniper kills per round,0.02,0.04,0.01
Sniper kills percentage,3.4%,5.3%,1.2%
Sniper multi-kill rounds,0.005,0.01,0.001
Sniper opening kills per round,0.003,0.006,0.0
Support rounds,20.0%,23.8%,16.5%
Time alive per round,1m 9s,1m 10s,1m 9s
Time opponent flashed per round,2.57,2.75,2.49
Trade kills per round,0.14,0.12,0.15
Trade kills percentage,19.9%,15.9%,24.4%
Traded deaths per round,0.13,0.12,0.15
Traded deaths percentage,20.8%,20.6%,21.1%
Utility damage per round,6.94,8.53,5.46
Utility kills per 100 rounds,1.46,1.67,1.26
Win% after opening kill,75.8%,76.0%,75.7%
