模型,描述,特征数,Spearman,Kendall Tau,Top5 Overlap,Top1 Accuracy
V1,118 特征，直接预测,118,0.5707602339181287,0.4210526315789474,0.711111111111111,0.4444444444444444
V2,118 特征差值,118,0.7109440267335004,0.5590643274853802,0.7777777777777778,0.5555555555555556
V3,32 特征差值,32,0.7263157894736842,0.5789473684210527,0.7777777777777778,0.5555555555555556
